,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription
184,0000021535,COHU INC,744,Nasdaq Global Market,COHU,3825,Instruments for Measuring and Testing of Electricity and Electri
185,0001050797,COLUMBIA SPORTSWEAR CO,8195,Nasdaq Global Market,COLM,2300,Apparel & Other Finishd Prods of Fabrics & Similar Matl
186,0001049606,COMPX INTERNATIONAL INC,2916,NYSE MKT,CIX,3420,"Cutlery, Handtools, And General Hardware"
187,0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,5566,Nasdaq Global Market,CMTL,3663,Radio and Television Broadcasting and Communications Equipment
188,0000816956,CONMED CORP,225,Nasdaq Global Market,CNMD,3845,Electromedical and Electrotherapeutic Apparatus
189,0001345126,COMPASS DIVERSIFIED HOLDINGS,693381,NYSE,CODI,2510,Household Furniture
190,0000711404,COOPER COMPANIES INC,6327,NYSE,COO,3851,Ophthalmic Goods
191,0000024491,COOPER TIRE & RUBBER CO,3845,NYSE,CTB,3011,Tires and Inner Tubes
192,0001290900,"COMMERCIAL VEHICLE GROUP, INC.",636513,Nasdaq Global Market,CVGI,3714,Motor Vehicle Parts and Accessories
193,0000022701,COMMUNICATIONS SYSTEMS INC,951,Nasdaq Global Market,JCS,3661,Telephone and Telegraph Apparatus
194,0001219601,CROWN HOLDINGS INC,398687,NYSE,CCK,3411,Metal Cans
195,0001000229,CORE LABORATORIES N V,28937,NYSE,CLB,1389,"Oil and Gas Field Services, Not Elsewhere Classified"
196,0001320461,COOPER-STANDARD HOLDINGS INC.,669084,NYSE,CPS,3714,Motor Vehicle Parts and Accessories
197,0000025445,CRANE CO /DE/,11823,NYSE,CR,3490,Miscellaneous Fabricated Metal Products
198,0000949158,CRAY INC,7875,Nasdaq Global Market,CRAY,3571,Electronic Computers
199,0000895419,CREE INC,1713,Nasdaq Global Market,CREE,3674,Semiconductors and Related Devices
200,0000784199,CRYOLIFE INC,10026,NYSE,CRY,3841,Surgical and Medical Instruments and Apparatus
201,0000020629,CSS INDUSTRIES INC,2651,NYSE,CSS,2771,Greeting Cards
202,0000889348,CPI AEROSTRUCTURES INC,6205,NYSE MKT,CVU,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified"
203,0000024741,CORNING INC /NY,4903,NYSE,GLW,3357,Drawing and Insulating of Nonferrous Wire
204,0000723603,CULP INC,1624,NYSE,CFI,2211,"Broadwoven Fabric Mills, Cotton"
205,0000026172,CUMMINS INC,9590,NYSE,CMI,3510,Engines And Turbines
206,0000026058,CTS CORP,9780,NYSE,CTS,3672,Printed Circuit Boards
207,0000026076,CUBIC CORP /DE/,11672,NYSE,CUB,3829,"Measuring and Controlling Devices, Not Elsewhere Classified"
208,0001108967,"CUI GLOBAL, INC.",74063,Nasdaq Capital Market,CUI,5065,"Electronic Parts and Equipment, Not Elsewhere Classified"
209,0001162461,CUTERA INC,94568,Nasdaq Global Market,CUTR,3845,Electromedical and Electrotherapeutic Apparatus
210,0000026324,CURTISS WRIGHT CORP,5870,NYSE,CW,3590,Miscellaneous Industrial And Commercial
211,0000768411,CYBEROPTICS CORP,4329,Nasdaq Global Market,CYBE,3827,Optical Instruments and Lenses
212,0000885306,CYNOSURE INC,316365,Nasdaq Global Market,CYNO,3845,Electromedical and Electrotherapeutic Apparatus
213,0000791915,CYPRESS SEMICONDUCTOR CORP /DE/,3231,Nasdaq Global Market,CY,3674,Semiconductors and Related Devices
214,0000915779,DAKTRONICS INC /SD/,894,Nasdaq Global Market,DAKT,3990,Miscellaneous Manufacturing Industries
215,0000026780,DANA HOLDING CORP,2038,NYSE,DAN,3714,Motor Vehicle Parts and Accessories
216,0000315189,DEERE & CO,12512,NYSE,DE,3523,Farm Machinery and Equipment
217,0000910521,DECKERS OUTDOOR CORP,5154,NYSE,DECK,3021,Rubber and Plastics Footwear
218,0000313616,DANAHER CORP /DE/,7081,NYSE,DHR,3823,"Industrial Instruments for Measurement, Display, and Control of "
219,0001101396,"DELTA APPAREL, INC",70522,NYSE MKT,DLA,5130,"Apparel, Piece Goods, And Notions"
220,0001521332,DELPHI AUTOMOTIVE PLC,856325,NYSE,DLPH,3714,Motor Vehicle Parts and Accessories
221,0000027996,DELUXE CORP,2415,NYSE,DLX,2780,"Blankbooks, Looseleaf Binders, And Bookbinding"
222,0000028823,DIEBOLD INC,1277,NYSE,DBD,3578,"Calculating and Accounting Machines, Except Electronic Computers"
223,0000896985,DESTINATION MATERNITY CORP,7748,Nasdaq Global Market,DEST,5621,Women's Clothing Stores
224,0001411658,DIGITILITI INC,756089,OTC,DIGI,3572,Computer Storage Devices
225,0001089063,DICKS SPORTING GOODS INC,373757,NYSE,DKS,5940,Miscellaneous Shopping Goods Stores
226,0001365038,DEMAND MEDIA INC.,710930,NYSE,DMD,7374,Computer Processing and Data Preparation and Processing Services
227,0000707388,DIGIRAD CORP,90024,Nasdaq Global Market,DRAD,3845,Electromedical and Electrotherapeutic Apparatus
228,0001093557,DEXCOM INC,112654,Nasdaq Global Market,DXCM,3841,Surgical and Medical Instruments and Apparatus
229,0000818479,DENTSPLY SIRONA INC.,10307,Nasdaq Global Market,XRAY,3843,Dental Equipment and Supplies
230,0000029644,DONALDSON CO INC,1528,NYSE,DCI,3564,Industrial and Commercial Fans and Blowers and Air Purification 
231,0000028917,DILLARDS INC,11112,NYSE,DDS,5311,Department Stores
232,0000029002,DIODES INC /DEL/,10636,Nasdaq Global Market,DIOD,3674,Semiconductors and Related Devices
233,0001308547,"DOLBY LABORATORIES, INC.",655607,NYSE,DLB,6794,Patent Owners and Lessors
234,0000868780,"DORMAN PRODUCTS, INC.",3363,Nasdaq Global Market,DORM,3714,Motor Vehicle Parts and Accessories
235,0000029905,DOVER CORP,9123,NYSE,DOV,3530,"Construction, Mining, And Materials Handling"
236,0000029915,DOW CHEMICAL CO /DE/,6197,NYSE,DOW,2821,"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elasto"
237,0001287213,"DOUGLAS DYNAMICS, INC",631367,NYSE,PLOW,3531,Construction Machinery and Equipment
238,0000034067,DYNAMIC MATERIALS CORP,927,Nasdaq Global Market,BOOM,3390,Miscellaneous Primary Metal Products
239,0000030305,DUCOMMUN INC /DE/,574,NYSE,DCO,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified"
240,0000030554,DUPONT E I DE NEMOURS & CO,2344,NYSE,DD,2820,"Plastics Materials And Synthetic Resins, Synthetic"
241,0001042893,DRIL-QUIP INC,11793,NYSE,DRQ,3533,Oil and Gas Field Machinery and Equipment
242,0000915778,DSP GROUP INC /DE/,4270,Nasdaq Global Market,DSPG,3674,Semiconductors and Related Devices
243,0000714603,DST SYSTEMS INC,9134,NYSE,DST,7374,Computer Processing and Data Preparation and Processing Services
244,0001226308,"DTS, INC.",404378,Nasdaq Global Market,DTSI,6794,Patent Owners and Lessors
