,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription
254,0001385157,TE CONNECTIVITY LTD.,732010,NYSE,TEL,5065,"Electronic Parts and Equipment, Not Elsewhere Classified"
255,0000771266,KOPIN CORP,11881,Nasdaq Global Market,KOPN,3674,Semiconductors and Related Devices
256,0001046311,CHOICE HOTELS INTERNATIONAL INC /DE,9167,NYSE,CHH,7011,Hotels and Motels
257,0001587523,KNOWLES CORP,916666,NYSE,KN,3651,Household Audio and Video Equipment
258,0000102741,VALSPAR CORP,2224,NYSE,VAL,2851,"Paints, Varnishes, Lacquers, Enamels, and Allied Products"
259,0001099219,METLIFE INC,69459,NYSE,MET,6311,Life Insurance
260,0000310354,STANDEX INTERNATIONAL CORP/DE/,10466,NYSE,SXI,3580,Refrigeration And Service Industry Machinery
261,0001013462,ANSYS INC,4309,Nasdaq Global Market,ANSS,7372,Prepackaged Software
262,0000110621,RPM INTERNATIONAL INC/DE/,10189,NYSE,RPM,2851,"Paints, Varnishes, Lacquers, Enamels, and Allied Products"
263,0001385145,CELLCOM ISRAEL LTD.,731835,NYSE,CEL,4812,Radiotelephone Communications
264,0000703361,INTEGRATED DEVICE TECHNOLOGY INC,5540,Nasdaq Global Market,IDTI,3674,Semiconductors and Related Devices
265,0001329099,"BAIDU, INC.",679501,Nasdaq Global Market,BIDU,7370,"Computer Programming, Data Processing, And"
266,0001021635,OGE ENERGY CORP.,595,NYSE,OGE,4911,Electric Services
267,0001020569,IRON MOUNTAIN INC,5806,NYSE,IRM,6798,Real Estate Investment Trusts
268,0001560385,LIBERTY MEDIA CORP,891655,Nasdaq Global Market,LMCA,4833,Television Broadcasting Stations
269,0001282637,NEWMARKET CORP,625888,NYSE,NEU,2860,Industrial Organic Chemicals
270,0000080035,PREFORMED LINE PRODUCTS CO,85841,Nasdaq Global Market,PLPC,1623,"Water, Sewer, Pipeline, and Communications and Power Line Constr"
271,0000720005,RAYMOND JAMES FINANCIAL INC,4542,NYSE,RJF,6211,"Security Brokers, Dealers, and Flotation Companies"
272,0001260221,TRANSDIGM GROUP INC,590095,NYSE,TDG,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified"
273,0000780571,ITRON INC /WA/,2361,Nasdaq Global Market,ITRI,3825,Instruments for Measuring and Testing of Electricity and Electri
274,0001491675,"COCA-COLA ENTERPRISES, INC.",829307,NYSE,CCE,2086,Bottled and Canned Soft Drinks and Carbonated Waters
275,0000851310,HARMONIC INC,8601,Nasdaq Global Market,HLIT,3663,Radio and Television Broadcasting and Communications Equipment
276,0000916085,HEALTH NET INC,1407,NYSE,HNT,6324,Hospital and Medical Service Plans
277,0000350563,TECO ENERGY INC,11722,NYSE,TE,4911,Electric Services
278,0000936395,CIENA CORP,2763,NYSE,CIEN,3661,Telephone and Telegraph Apparatus
279,0000912615,URBAN OUTFITTERS INC,6549,Nasdaq Global Market,URBN,5651,Family Clothing Stores
280,0000063908,MCDONALDS CORP,2163,NYSE,MCD,5812,Eating Places
281,0000873044,RADISYS CORP,10638,Nasdaq Global Market,RSYS,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
282,0001573516,MURPHY USA INC.,905843,NYSE,MUSA,5500,Retail-Auto Dealers & Gasoline Stations
283,0000061986,MANITOWOC CO INC,5237,NYSE,MTW,3531,Construction Machinery and Equipment
284,0000926326,"OMNICELL, INC",75441,Nasdaq Global Market,OMCL,3571,Electronic Computers
285,0001493761,TURTLE BEACH CORP,831565,Nasdaq Global Market,HEAR,3669,"Communications Equipment, Not Elsewhere Classified"
286,0001011006,YAHOO INC,5922,Nasdaq Global Market,YHOO,7373,Computer Integrated Systems Design
287,0000040704,GENERAL MILLS INC,10483,NYSE,GIS,2040,Grain Mill Products
288,0000742278,RPC INC,11363,NYSE,RES,1389,"Oil and Gas Field Services, Not Elsewhere Classified"
289,0000102729,VALMONT INDUSTRIES INC,9388,NYSE,VMI,3440,Fabricated Structural Metal Products
290,0001385280,"CINEMARK HOLDINGS, INC.",733449,NYSE,CNK,7830,Motion Picture Theaters
291,0001591956,SPHERE 3D CORP,920526,Nasdaq Global Market,ANY,7374,Computer Processing and Data Preparation and Processing Services
292,0000751652,QUESTAR CORP,4214,NYSE,STR,4923,Natural Gas Transmission and Distribution
293,0001534504,PBF ENERGY INC.,867850,NYSE,PBF,2911,Petroleum Refining
294,0001515156,"ADVANCED EMISSIONS SOLUTIONS, INC.",850158,OTC,ADES,2890,Miscellaneous Chemical Products
295,0000011544,BERKLEY W R CORP,1467,NYSE,WRB,6331,"Fire, Marine, and Casualty Insurance"
296,0001038074,SILICON LABORATORIES INC,71056,Nasdaq Global Market,SLAB,3674,Semiconductors and Related Devices
297,0000763901,POPULAR INC,1012,Nasdaq Global Market,BPOP,6022,State Commercial Banks
298,0001109138,CAMTEK LTD,77741,Nasdaq Global Market,CAMT,3827,Optical Instruments and Lenses
299,0001086222,AKAMAI TECHNOLOGIES INC,5134,Nasdaq Global Market,AKAM,7389,"Business Services, Not Elsewhere Classified"
300,0001018003,INGRAM MICRO INC,1411,NYSE,IM,5045,Computers and Computer Peripheral Equipment and Software
301,0000893538,SM ENERGY CO,5351,NYSE,SM,1311,Crude Petroleum and Natural Gas
302,0001470215,TOWERS WATSON & CO.,811278,Nasdaq Global Market,TW,8742,Management Consulting Services
303,0001303652,TABLEAU SOFTWARE INC,649881,NYSE,DATA,7372,Prepackaged Software
304,0000882095,GILEAD SCIENCES INC,7556,Nasdaq Global Market,GILD,2836,"Biological Products, Except Diagnostic Substances"
305,0001158449,ADVANCE AUTO PARTS INC,90252,NYSE,AAP,5531,Auto and Home Supply Stores
306,0000773840,HONEYWELL INTERNATIONAL INC,11512,NYSE,HON,3714,Motor Vehicle Parts and Accessories
307,0000019446,CANTEL MEDICAL CORP,11390,NYSE,CMN,3841,Surgical and Medical Instruments and Apparatus
308,0000073309,NUCOR CORP,2036,NYSE,NUE,3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling "
309,0001261694,TESSERA TECHNOLOGIES INC,593698,Nasdaq Global Market,TSRA,3674,Semiconductors and Related Devices
310,0000091767,SONOCO PRODUCTS CO,412,NYSE,SON,2650,Paperboard Containers And Boxes
311,0001012620,GENESEE & WYOMING INC,11978,NYSE,GWR,4011,"Railroads, Line-Haul Operating"
312,0000018349,SYNOVUS FINANCIAL CORP,9498,NYSE,SNV,6021,National Commercial Banks
313,0001049502,MKS INSTRUMENTS INC,35,Nasdaq Global Market,MKSI,3823,"Industrial Instruments for Measurement, Display, and Control of "
314,0000060977,LYDALL INC /DE/,8032,NYSE,LDL,3714,Motor Vehicle Parts and Accessories
315,0000898173,O REILLY AUTOMOTIVE INC,5442,Nasdaq Global Market,ORLY,5531,Auto and Home Supply Stores
316,0000097216,TEREX CORP,3588,NYSE,TEX,3537,"Industrial Trucks, Tractors, Trailers, and Stackers"
317,0001526520,"TRIPADVISOR, INC.",860841,Nasdaq Global Market,TRIP,7370,"Computer Programming, Data Processing, And"
318,0001280452,MONOLITHIC POWER SYSTEMS INC,642738,Nasdaq Global Market,MPWR,3674,Semiconductors and Related Devices
319,0000740664,R F INDUSTRIES LTD,9251,Nasdaq Global Market,RFIL,3678,Electronic Connectors
320,0000783280,DUKE REALTY CORP,6878,NYSE,DRE,6798,Real Estate Investment Trusts
321,0000093389,STANDARD MOTOR PRODUCTS INC,2927,NYSE,SMP,3714,Motor Vehicle Parts and Accessories
322,0000027904,DELTA AIR LINES INC /DE/,7551,NYSE,DAL,4512,"Air Transportation, Scheduled"
323,0001270073,INTERCEPT PHARMACEUTICALS INC,605285,Nasdaq Global Market,ICPT,2834,Pharmaceutical Preparations
324,0000105319,WEIGHT WATCHERS INTERNATIONAL INC,69668,NYSE,WTW,7200,Services-Personal Services
325,0000048465,HORMEL FOODS CORP /DE/,1054,NYSE,HRL,2011,Meat Packing Plants
326,0000021175,CNA FINANCIAL CORP,8420,NYSE,CNA,6331,"Fire, Marine, and Casualty Insurance"
327,0000816761,TERADATA CORP /DE/,345661,NYSE,TDC,3571,Electronic Computers
328,0000875159,XL GROUP PLC,10181,NYSE,XL,6331,"Fire, Marine, and Casualty Insurance"
329,0000751978,VICOR CORP,8202,Nasdaq Global Market,VICR,3679,"Electronic Components, Not Elsewhere Classified"
330,0001172052,SAFETY INSURANCE GROUP INC,108380,Nasdaq Global Market,SAFT,6331,"Fire, Marine, and Casualty Insurance"
331,0001325702,MAGNACHIP SEMICONDUCTOR CORP,672432,NYSE,MX,3674,Semiconductors and Related Devices
332,0001006045,IRIDEX CORP,1525,Nasdaq Global Market,IRIX,3845,Electromedical and Electrotherapeutic Apparatus
333,0001562476,TAYLOR MORRISON HOME CORP,894212,NYSE,TMHC,1531,Operative Builders
334,0000896429,USA TECHNOLOGIES INC,9834,Nasdaq Global Market,USAT,3578,"Calculating and Accounting Machines, Except Electronic Computers"
335,0001163302,UNITED STATES STEEL CORP,93870,NYSE,X,3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling "
336,0000004127,"SKYWORKS SOLUTIONS, INC.",9198,Nasdaq Global Market,SWKS,3674,Semiconductors and Related Devices
337,0000817366,VCA INC,11426,Nasdaq Global Market,WOOF,0700,Agricultural Services
338,0001430602,"SCRIPPS NETWORKS INTERACTIVE, INC.",774301,Nasdaq Global Market,SNI,4841,Cable and Other Pay Television Services
339,0000794367,"MACY'S, INC.",10592,NYSE,M,5311,Department Stores
340,0001048286,MARRIOTT INTERNATIONAL INC /MD/,48224,Nasdaq Global Market,MAR,7011,Hotels and Motels
341,0001341439,ORACLE CORP,688447,NYSE,ORCL,7372,Prepackaged Software
342,0001350593,"MUELLER WATER PRODUCTS, INC.",698370,NYSE,MWA,3490,Miscellaneous Fabricated Metal Products
343,0000890394,"MOSYS, INC.",78114,Nasdaq Global Market,MOSY,3674,Semiconductors and Related Devices
344,0000913144,RENAISSANCERE HOLDINGS LTD,10274,NYSE,RNR,6331,"Fire, Marine, and Casualty Insurance"
345,0000931336,DEAN FOODS CO,8149,NYSE,DF,2024,Ice Cream and Frozen Desserts
346,0000024545,MOLSON COORS BREWING CO,9561,NYSE,TAP,2082,Malt Beverages
347,0000874499,GULFPORT ENERGY CORP,5039,Nasdaq Global Market,GPOR,1311,Crude Petroleum and Natural Gas
348,0001409375,"ORION ENERGY SYSTEMS, INC.",754668,Nasdaq Capital Market,OESX,3640,Electric Lighting And Wiring Equipment
349,0001466593,OTTER TAIL CORP,807724,Nasdaq Global Market,OTTR,4911,Electric Services
350,0000732712,VERIZON COMMUNICATIONS INC,7762,NYSE,VZ,4813,"Telephone Communications, Except Radiotelephone"
351,0001057083,PC TEL INC,5685,Nasdaq Global Market,PCTI,3663,Radio and Television Broadcasting and Communications Equipment
352,0001063761,SIMON PROPERTY GROUP INC /DE/,54360,NYSE,SPG,6798,Real Estate Investment Trusts
353,0000721371,CARDINAL HEALTH INC,5728,NYSE,CAH,5122,"Drugs, Drug Proprietaries, and Druggists' Sundries"
354,0001065696,LKQ CORP,212268,Nasdaq Global Market,LKQ,5010,Motor Vehicles And Motor Vehicle Parts And
355,0000035527,FIFTH THIRD BANCORP,7793,Nasdaq Global Market,FITB,6022,State Commercial Banks
356,0001489393,LYONDELLBASELL INDUSTRIES N.V.,826087,NYSE,LYB,2860,Industrial Organic Chemicals
357,0000717954,UNIFIRST CORP,7467,NYSE,UNF,7200,Services-Personal Services
358,0001289419,"MORNINGSTAR, INC.",634142,Nasdaq Global Market,MORN,6282,Investment Advice
359,0001348259,VALIDUS HOLDINGS LTD,694800,NYSE,VR,6331,"Fire, Marine, and Casualty Insurance"
360,0001299139,TEARLAB CORP,646524,Nasdaq Capital Market,TEAR,3841,Surgical and Medical Instruments and Apparatus
361,0000007084,ARCHER DANIELS MIDLAND CO,10859,NYSE,ADM,2070,Fats And Oils
362,0001110783,MONSANTO CO /NEW/,76144,NYSE,MON,2870,Agricultural Chemicals
363,0001617898,KLX INC.,943529,Nasdaq Global Market,KLXI,3720,Aircraft And Parts
364,0000073124,NORTHERN TRUST CORP,10923,Nasdaq Global Market,NTRS,6022,State Commercial Banks
365,0000886346,KADANT INC,9850,NYSE,KAI,3550,"Special Industry Machinery, Except Metalworking"
366,0000893949,"MEDNAX, INC.",10840,NYSE,MD,8060,Hospitals
367,0000775368,ALLEGHANY CORP /DE,11487,NYSE,Y,6331,"Fire, Marine, and Casualty Insurance"
368,0000070866,NCR CORP,2066,NYSE,NCR,3578,"Calculating and Accounting Machines, Except Electronic Computers"
369,0001336917,"UNDER ARMOUR, INC.",683860,NYSE,UA,2300,Apparel & Other Finishd Prods of Fabrics & Similar Matl
370,0001285785,MOSAIC CO,630568,NYSE,MOS,2870,Agricultural Chemicals
371,0000085408,ROWAN COMPANIES PLC,10681,NYSE,RDC,1381,Drilling Oil and Gas Wells
372,0000918251,MOTORCAR PARTS AMERICA INC,11357,Nasdaq Global Market,MPAA,3714,Motor Vehicle Parts and Accessories
373,0000050863,INTEL CORP,6850,Nasdaq Global Market,INTC,3674,Semiconductors and Related Devices
374,0000355948,RICHARDSON ELECTRONICS LTD/DE,12009,Nasdaq Global Market,RELL,5065,"Electronic Parts and Equipment, Not Elsewhere Classified"
375,0000812074,OWENS ILLINOIS INC /DE/,4784,NYSE,OI,3221,Glass Containers
376,0001061219,ENTERPRISE PRODUCTS PARTNERS L P,4164,NYSE,EPD,4922,Natural Gas Transmission
377,0001084991,NATURAL GAS SERVICES GROUP INC,110151,NYSE,NGS,1389,"Oil and Gas Field Services, Not Elsewhere Classified"
378,0000085535,ROYAL GOLD INC,9289,Nasdaq Global Market,RGLD,6795,Mineral Royalty Traders
379,0001094285,TELEDYNE TECHNOLOGIES INC,67456,NYSE,TDY,3812,"Search, Detection, Navigation, Guidance, Aeronautical, and Nauti"
380,0001312073,"VERIFONE SYSTEMS, INC.",658618,NYSE,PAY,3578,"Calculating and Accounting Machines, Except Electronic Computers"
381,0000878526,NATUS MEDICAL INC,78596,Nasdaq Global Market,BABY,3845,Electromedical and Electrotherapeutic Apparatus
382,0000800240,OFFICE DEPOT INC,6394,Nasdaq Global Market,ODP,5940,Miscellaneous Shopping Goods Stores
383,0000833640,POWER INTEGRATIONS INC,2867,Nasdaq Global Market,POWI,3674,Semiconductors and Related Devices
384,0000913241,"STEVEN MADDEN, LTD.",3734,Nasdaq Global Market,SHOO,3140,"Footwear, Except Rubber"
385,0000798949,UNIT CORP,1945,NYSE,UNT,1311,Crude Petroleum and Natural Gas
386,0001493594,"M/A-COM TECHNOLOGY SOLUTIONS HOLDINGS, INC.",830087,Nasdaq Global Market,MTSI,3674,Semiconductors and Related Devices
387,0000350894,SEI INVESTMENTS CO,10105,Nasdaq Global Market,SEIC,6211,"Security Brokers, Dealers, and Flotation Companies"
388,0000310158,"MERCK & CO., INC.",6895,NYSE,MRK,2834,Pharmaceutical Preparations
389,0001051470,CROWN CASTLE INTERNATIONAL CORP,9781,NYSE,CCI,6798,Real Estate Investment Trusts
390,0001396009,VULCAN MATERIALS CO,741066,NYSE,VMC,1400,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
391,0001279363,"WELLCARE HEALTH PLANS, INC.",622008,NYSE,WCG,6324,Hospital and Medical Service Plans
392,0001035443,ALEXANDRIA REAL ESTATE EQUITIES INC,11440,NYSE,ARE,6798,Real Estate Investment Trusts
393,0001105705,TIME WARNER INC.,72297,NYSE,TWX,4841,Cable and Other Pay Television Services
394,0001096325,INTERSIL CORP/DE,68997,Nasdaq Global Market,ISIL,3674,Semiconductors and Related Devices
395,0000822818,CLEAN HARBORS INC,9257,NYSE,CLH,4955,Hazardous Waste Management
396,0000708818,"QUALITY SYSTEMS, INC",11423,Nasdaq Global Market,QSII,7373,Computer Integrated Systems Design
397,0001364885,"SPIRIT AEROSYSTEMS HOLDINGS, INC.",713947,NYSE,SPR,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified"
398,0000350797,EATON VANCE CORP,9274,NYSE,EV,6282,Investment Advice
399,0000917520,INTEGRA LIFESCIENCES HOLDINGS CORP,2804,Nasdaq Global Market,IART,3826,Laboratory Analytical Instruments
400,0000353569,QUIDEL CORP /DE/,8142,Nasdaq Global Market,QDEL,2835,In Vitro and In Vivo Diagnostic Substances
401,0000927653,MCKESSON CORP,1903,NYSE,MCK,5122,"Drugs, Drug Proprietaries, and Druggists' Sundries"
402,0000079282,BROWN & BROWN INC,11186,NYSE,BRO,6411,"Insurance Agents, Brokers, and Service"
403,0000832988,SIGNET JEWELERS LTD,10903,NYSE,SIG,5944,Jewelry Stores
404,0000055785,KIMBERLY CLARK CORP,3507,NYSE,KMB,2670,"Converted Paper And Paperboard Products, Except"
405,0000899866,ALEXION PHARMACEUTICALS INC,2919,Nasdaq Global Market,ALXN,2834,Pharmaceutical Preparations
406,0001299130,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",644890,Nasdaq Global Market,PACB,3826,Laboratory Analytical Instruments
407,0000054381,KAMAN CORP,2143,NYSE,KAMN,5080,"Machinery, Equipment, And Supplies"
408,0001022079,QUEST DIAGNOSTICS INC,1330,NYSE,DGX,8071,Medical Laboratories
409,0000089270,SL INDUSTRIES INC,760,NYSE MKT,SLI,3679,"Electronic Components, Not Elsewhere Classified"
410,0001331875,"FIDELITY NATIONAL FINANCIAL, INC.",678955,NYSE,FNF,6361,Title Insurance
411,0000039648,G&K SERVICES INC,811,Nasdaq Global Market,GK,7200,Services-Personal Services
412,0001360604,"HEALTHCARE TRUST OF AMERICA, INC.",707031,NYSE,HTA,6798,Real Estate Investment Trusts
413,0000030697,WENDY'S CO,9943,Nasdaq Global Market,WEN,5810,Eating And Drinking Places
414,0001037038,RALPH LAUREN CORP,11816,NYSE,RL,2320,"Men's And Boys' Furnishings, Work Clothing, And Allied Garments"
415,0001088825,TIVO INC,4126,Nasdaq Global Market,TIVO,4841,Cable and Other Pay Television Services
416,0000916457,CALPINE CORP,2577,NYSE,CPN,4911,Electric Services
417,0000313143,HAEMONETICS CORP,5753,NYSE,HAE,3841,Surgical and Medical Instruments and Apparatus
418,0000753308,NEXTERA ENERGY INC,6108,NYSE,NEE,4911,Electric Services
419,0000891478,"BANCO SANTANDER, S.A.",6454,NYSE,SAN,6029,"Commercial Banks, Not Elsewhere Classified"
420,0001177845,XPLORE TECHNOLOGIES CORP,374181,OTC,XPLR,3570,Computer And Office Equipment
421,0000310142,SENSIENT TECHNOLOGIES CORP,800,NYSE,SXT,2860,Industrial Organic Chemicals
422,0000316206,"STARWOOD HOTEL & RESORTS WORLDWIDE, INC",18766,NYSE,HOT,7011,Hotels and Motels
423,0000072207,NOBLE ENERGY INC,2824,NYSE,NBL,1311,Crude Petroleum and Natural Gas
424,0001159167,IROBOT CORP,148691,Nasdaq Global Market,IRBT,3630,Household Appliances
425,0001015820,QIAGEN NV,9447,Nasdaq Global Market,QGEN,2836,"Biological Products, Except Diagnostic Substances"
426,0001334978,"CLEAR CHANNEL OUTDOOR HOLDINGS, INC.",682462,NYSE,CCO,7310,Advertising
427,0000711377,NEOGEN CORP,1125,Nasdaq Global Market,NEOG,2835,In Vitro and In Vivo Diagnostic Substances
428,0001031029,"STARTEK, INC.",3608,NYSE,SRT,7363,Help Supply Services
429,0001495320,"VERA BRADLEY, INC.",832139,Nasdaq Capital Market,VRA,3100,Leather & Leather Products
430,0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,2488,Nasdaq Global Market,CTSH,7371,Computer Programming Services
431,0000719739,SVB FINANCIAL GROUP,9839,Nasdaq Global Market,SIVB,6022,State Commercial Banks
432,0001510295,MARATHON PETROLEUM CORP,846338,NYSE,MPC,2911,Petroleum Refining
433,0000936468,LOCKHEED MARTIN CORP,11373,NYSE,LMT,3760,Guided Missiles And Space Vehicles And Parts
434,0001174922,WYNN RESORTS LTD,112970,Nasdaq Global Market,WYNN,7011,Hotels and Motels
435,0001058090,CHIPOTLE MEXICAN GRILL INC,113519,NYSE,CMG,5812,Eating Places
436,0001116463,ORASURE TECHNOLOGIES INC,76876,Nasdaq Global Market,OSUR,3841,Surgical and Medical Instruments and Apparatus
437,0001000180,SANDISK CORP,9981,Nasdaq Global Market,SNDK,3572,Computer Storage Devices
438,0000038777,FRANKLIN RESOURCES INC,8481,NYSE,BEN,6282,Investment Advice
439,0000704051,"LEGG MASON, INC.",9955,NYSE,LM,6282,Investment Advice
440,0001047884,ANWORTH MORTGAGE ASSET CORP,590,NYSE,ANH,6798,Real Estate Investment Trusts
441,0000743988,XILINX INC,9805,Nasdaq Global Market,XLNX,3674,Semiconductors and Related Devices
442,0001108827,"QEP RESOURCES, INC.",75227,NYSE,QEP,1311,Crude Petroleum and Natural Gas
443,0000899689,VORNADO REALTY TRUST,10385,NYSE,VNO,6798,Real Estate Investment Trusts
444,0000931015,POLARIS INDUSTRIES INC/MN,1195,NYSE,PII,3790,Miscellaneous Transportation Equipment
445,0000225648,COVANTA HOLDING CORP,11015,NYSE,CVA,4991,Cogeneration Services & Small Power Producers
446,0001283630,AMERICAN CAMPUS COMMUNITIES INC,632472,NYSE,ACC,6798,Real Estate Investment Trusts
447,0001564902,"SEAWORLD ENTERTAINMENT, INC.",895907,NYSE,SEAS,7990,Miscellaneous Amusement And Recreation
448,0001002517,"NUANCE COMMUNICATIONS, INC.",6992,Nasdaq Global Market,NUAN,7372,Prepackaged Software
449,0000052827,RAYONIER INC,9610,NYSE,RYN,6798,Real Estate Investment Trusts
450,0000065770,"MICROVISION, INC.",3381,Nasdaq Global Market,MVIS,3679,"Electronic Components, Not Elsewhere Classified"
451,0000732717,AT&T INC.,4196,NYSE,T,4813,"Telephone Communications, Except Radiotelephone"
452,0001022646,ULTRA PETROLEUM CORP,88211,NYSE,UPL,1311,Crude Petroleum and Natural Gas
453,0001300514,LAS VEGAS SANDS CORP,648612,NYSE,LVS,7011,Hotels and Motels
454,0001524472,XYLEM INC.,859493,NYSE,XYL,3561,Pumps and Pumping Equipment
455,0000726728,REALTY INCOME CORP,10047,NYSE,O,6798,Real Estate Investment Trusts
456,0001533454,NORTHERN TIER ENERGY LP,869591,NYSE,NTI,2911,Petroleum Refining
457,0001458891,NOBLE CORP PLC,801210,NYSE,NE,1381,Drilling Oil and Gas Wells
458,0000872589,REGENERON PHARMACEUTICALS INC,5036,Nasdaq Global Market,REGN,2834,Pharmaceutical Preparations
459,0001324948,RBC BEARINGS INC,673643,Nasdaq Global Market,ROLL,3562,Ball and Roller Bearings
460,0001120193,"NASDAQ, INC.",85928,Nasdaq Global Market,NDAQ,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
461,0000031791,PERKINELMER INC,10493,NYSE,PKI,3826,Laboratory Analytical Instruments
462,0001020416,"MONSTER WORLDWIDE, INC.",3835,NYSE,MWW,7363,Help Supply Services
463,0001170858,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO-SABESP,106828,NYSE,SBS,4941,Water Supply
464,0000090896,SKYLINE CORP,1343,NYSE MKT,SKY,2451,Mobile Homes
465,0000049071,HUMANA INC,3640,NYSE,HUM,6324,Hospital and Medical Service Plans
466,0001050825,STEELCASE INC,8458,NYSE,SCS,2522,"Office Furniture, Except Wood"
467,0000106618,HANDY & HARMAN LTD.,5919,Nasdaq Capital Market,HNH,3470,"Coating, Engraving, And Allied Services"
468,0001039765,ING GROEP NV,9340,NYSE,ING,6029,"Commercial Banks, Not Elsewhere Classified"
469,0001003935,NICE SYSTEMS LTD,11122,Nasdaq Global Market,NICE,3571,Electronic Computers
470,0000861878,STERICYCLE INC,8298,Nasdaq Global Market,SRCL,4955,Hazardous Waste Management
471,0000702165,NORFOLK SOUTHERN CORP,5042,NYSE,NSC,4011,"Railroads, Line-Haul Operating"
472,0000794323,LEVEL 3 COMMUNICATIONS INC,2787,NYSE,LVLT,4813,"Telephone Communications, Except Radiotelephone"
473,0001283699,"T-MOBILE US, INC.",628341,Nasdaq Global Market,TMUS,4812,Radiotelephone Communications
474,0000912603,SCHNITZER STEEL INDUSTRIES INC,10612,Nasdaq Global Market,SCHN,5090,Miscellaneous Durable Goods
475,0000048039,HOLLYFRONTIER CORP,502,NYSE,HFC,2911,Petroleum Refining
476,0000713676,"PNC FINANCIAL SERVICES GROUP, INC.",4948,NYSE,PNC,6021,National Commercial Banks
477,0000070318,TENET HEALTHCARE CORP,3638,NYSE,THC,8062,General Medical and Surgical Hospitals
478,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,10358,NYSE,IBM,3570,Computer And Office Equipment
479,0000060086,LOEWS CORP,7505,NYSE,L,6331,"Fire, Marine, and Casualty Insurance"
480,0000046195,BANK OF HAWAII CORP,7444,NYSE,BOH,6022,State Commercial Banks
481,0001082923,STAMPS.COM INC,1871,Nasdaq Global Market,STMP,7389,"Business Services, Not Elsewhere Classified"
482,0001599617,NOW INC.,928419,NYSE,DNOW,3533,Oil and Gas Field Machinery and Equipment
483,0000701221,CIGNA CORP,9846,NYSE,CI,6324,Hospital and Medical Service Plans
484,0001024478,ROCKWELL AUTOMATION INC,12017,NYSE,ROK,3829,"Measuring and Controlling Devices, Not Elsewhere Classified"
485,0000098362,TIMKEN CO,6550,NYSE,TKR,3562,Ball and Roller Bearings
486,0001471261,"COBALT INTERNATIONAL ENERGY, INC.",811322,NYSE,CIE,1311,Crude Petroleum and Natural Gas
487,0000063754,MCCORMICK & CO INC,6462,NYSE,MKC,2090,Miscellaneous Food Preparations And Kindred
488,0000882508,QUICKLOGIC CORPORATION,6338,Nasdaq Global Market,QUIK,3674,Semiconductors and Related Devices
489,0001365742,"ACORN INTERNATIONAL, INC.",739994,NYSE,ATV,5900,Retail-Miscellaneous Retail
490,0001179929,MOLINA HEALTHCARE INC,389703,NYSE,MOH,6324,Hospital and Medical Service Plans
491,0001137091,"POWER SOLUTIONS INTERNATIONAL, INC.",93623,Nasdaq Global Market,PSIX,3510,Engines And Turbines
492,0000020212,CHURCHILL DOWNS INC,11302,Nasdaq Global Market,CHDN,7948,"Racing, Including Track Operation"
493,0001389072,"HEARTWARE INTERNATIONAL, INC.",742466,Nasdaq Global Market,HTWR,3841,Surgical and Medical Instruments and Apparatus
494,0001418819,IRIDIUM COMMUNICATIONS INC.,763694,Nasdaq Global Market,IRDM,3669,"Communications Equipment, Not Elsewhere Classified"
495,0000096021,SYSCO CORP,6831,NYSE,SYY,5140,Groceries And Related Products
496,0001019671,SEACHANGE INTERNATIONAL INC,9626,Nasdaq Global Market,SEAC,3663,Radio and Television Broadcasting and Communications Equipment
497,0000076282,PARK OHIO HOLDINGS CORP,3440,Nasdaq Global Market,PKOH,3460,Metal Forgings And Stampings
498,0001071739,CENTENE CORP,91560,NYSE,CNC,6324,Hospital and Medical Service Plans
499,0001000697,WATERS CORP /DE/,8644,NYSE,WAT,3826,Laboratory Analytical Instruments
500,0000880285,ENBRIDGE ENERGY PARTNERS LP,6903,NYSE,EEP,4610,"Pipelines, Except Natural Gas"
501,0000877212,ZEBRA TECHNOLOGIES CORP,8509,Nasdaq Global Market,ZBRA,3560,General Industrial Machinery And Equipment
502,0001159152,JAMES HARDIE INDUSTRIES PLC,99811,NYSE,JHX,3272,"Concrete Products, Except Block and Brick"
503,0000870753,NUMEREX CORP /PA/,11276,Nasdaq Global Market,NMRX,3669,"Communications Equipment, Not Elsewhere Classified"
504,0000707549,LAM RESEARCH CORP,5807,Nasdaq Global Market,LRCX,3559,"Special Industry Machinery, Not Elsewhere Classified"
505,0000002186,RELM WIRELESS CORP,1381,NYSE MKT,RWC,3663,Radio and Television Broadcasting and Communications Equipment
506,0000104169,WAL MART STORES INC,7329,NYSE,WMT,5331,Variety Stores
507,0000895421,MORGAN STANLEY,5929,NYSE,MS,6211,"Security Brokers, Dealers, and Flotation Companies"
