,link,size,filing_date,year,cik,conformed_name
88,https://www.sec.gov/Archives/edgar/data/24741/000119312519161004/0001193125-19-161004-index.htm,365 KB,2019-05-30,2019,0000024741,CORNING INC /NY
94,https://www.sec.gov/Archives/edgar/data/1637761/000163776119000067/0001637761-19-000067-index.htm,24 KB,2019-05-17,2019,0001637761,SeaSpine Holdings Corp
103,https://www.sec.gov/Archives/edgar/data/1001250/000110465919032721/0001104659-19-032721-index.htm,26 KB,2019-05-30,2019,0001001250,ESTEE LAUDER COMPANIES INC
108,https://www.sec.gov/Archives/edgar/data/99780/000009978019000088/0000099780-19-000088-index.htm,251 KB,2019-05-29,2019,0000099780,TRINITY INDUSTRIES INC
114,https://www.sec.gov/Archives/edgar/data/20629/000002062919000040/0000020629-19-000040-index.htm,21 KB,2019-05-30,2019,0000020629,CSS INDUSTRIES INC
120,https://www.sec.gov/Archives/edgar/data/10795/000119312519136704/0001193125-19-136704-index.htm,194 KB,2019-05-03,2019,0000010795,BECTON DICKINSON & CO
126,https://www.sec.gov/Archives/edgar/data/1290109/000119312519159126/0001193125-19-159126-index.htm,133 KB,2019-05-29,2019,0001290109,"LG Display Co., Ltd."
132,https://www.sec.gov/Archives/edgar/data/1020710/000102071019000049/0001020710-19-000049-index.htm,534 KB,2019-05-31,2019,0001020710,DXP ENTERPRISES INC
135,https://www.sec.gov/Archives/edgar/data/55529/000119312519143955/0001193125-19-143955-index.htm,18 KB,2019-05-10,2019,0000055529,KEWAUNEE SCIENTIFIC CORP /DE/
140,https://www.sec.gov/Archives/edgar/data/14930/000001493019000102/0000014930-19-000102-index.htm,157 KB,2019-05-31,2019,0000014930,BRUNSWICK CORP
146,https://www.sec.gov/Archives/edgar/data/108516/000119312519158830/0001193125-19-158830-index.htm,134 KB,2019-05-29,2019,0000108516,WORTHINGTON INDUSTRIES INC
153,https://www.sec.gov/Archives/edgar/data/1645494/000114420419015398/0001144204-19-015398-index.htm,352 KB,2019-03-22,2019,0001645494,ARRIS International plc
161,https://www.sec.gov/Archives/edgar/data/1296205/000129620519000047/0001296205-19-000047-index.htm,22 KB,2019-04-15,2019,0001296205,ZAGG Inc
167,https://www.sec.gov/Archives/edgar/data/1132924/000156459019012601/0001564590-19-012601-index.htm,33 KB,2019-04-24,2019,0001132924,CHUNGHWA TELECOM CO LTD
180,https://www.sec.gov/Archives/edgar/data/1005011/000100501119000011/0001005011-19-000011-index.htm,35 KB,2019-05-29,2019,0001005011,"GRAPHIC PACKAGING INTERNATIONAL, LLC"
182,https://www.sec.gov/Archives/edgar/data/217410/000165495419006756/0001654954-19-006756-index.htm,26 KB,2019-05-31,2019,0000217410,UNILEVER PLC
188,https://www.sec.gov/Archives/edgar/data/775158/000089706919000290/0000897069-19-000290-index.htm,396 KB,2019-05-31,2019,0000775158,OSHKOSH CORP
194,https://www.sec.gov/Archives/edgar/data/719733/000071973319000024/0000719733-19-000024-index.htm,298 KB,2019-05-22,2019,0000719733,KEY TRONIC CORP
200,https://www.sec.gov/Archives/edgar/data/1681459/000168145919000072/0001681459-19-000072-index.htm,354 KB,2019-05-24,2019,0001681459,TechnipFMC plc
201,https://www.sec.gov/Archives/edgar/data/1630805/000163080519000060/0001630805-19-000060-index.htm,822 KB,2019-05-28,2019,0001630805,"Babcock & Wilcox Enterprises, Inc."
205,https://www.sec.gov/Archives/edgar/data/96943/000009694319000113/0000096943-19-000113-index.htm,557 KB,2019-05-31,2019,0000096943,TELEFLEX INC
211,https://www.sec.gov/Archives/edgar/data/94049/000156459019020801/0001564590-19-020801-index.htm,77 KB,2019-05-30,2019,0000094049,STEPAN CO
217,https://www.sec.gov/Archives/edgar/data/746598/000074659819000074/0000746598-19-000074-index.htm,509 KB,2019-05-29,2019,0000746598,BRADY CORP
223,https://www.sec.gov/Archives/edgar/data/1096056/000109605619000036/0001096056-19-000036-index.htm,18 KB,2019-05-31,2019,0001096056,LUXFER HOLDINGS PLC
229,https://www.sec.gov/Archives/edgar/data/718877/000110465919033161/0001104659-19-033161-index.htm,55 KB,2019-05-31,2019,0000718877,"Activision Blizzard, Inc."
235,https://www.sec.gov/Archives/edgar/data/34088/000003408819000019/0000034088-19-000019-index.htm,42 KB,2019-05-22,2019,0000034088,EXXON MOBIL CORP
244,https://www.sec.gov/Archives/edgar/data/1093557/000109355719000132/0001093557-19-000132-index.htm,107 KB,2019-05-30,2019,0001093557,DEXCOM INC
250,https://www.sec.gov/Archives/edgar/data/1030894/000110465919028880/0001104659-19-028880-index.htm,1 MB,2019-05-13,2019,0001030894,CELESTICA INC
256,https://www.sec.gov/Archives/edgar/data/1732845/000115752319001335/0001157523-19-001335-index.htm,38 KB,2019-05-31,2019,0001732845,WestRock Co
257,https://www.sec.gov/Archives/edgar/data/831259/000083125919000022/0000831259-19-000022-index.htm,23 KB,2019-05-21,2019,0000831259,FREEPORT-MCMORAN INC
263,https://www.sec.gov/Archives/edgar/data/47217/000004721719000029/0000047217-19-000029-index.htm,683 KB,2019-05-28,2019,0000047217,HP INC
269,https://www.sec.gov/Archives/edgar/data/49728/000004972819000073/0000049728-19-000073-index.htm,70 KB,2019-05-29,2019,0000049728,IEC ELECTRONICS CORP
275,https://www.sec.gov/Archives/edgar/data/1521036/000119312519162870/0001193125-19-162870-index.htm,37 KB,2019-05-31,2019,0001521036,"Lantheus Holdings, Inc."
279,https://www.sec.gov/Archives/edgar/data/6845/000119312519156648/0001193125-19-156648-index.htm,57 KB,2019-05-24,2019,0000006845,"APOGEE ENTERPRISES, INC."
287,https://www.sec.gov/Archives/edgar/data/1383395/000138339519000033/0001383395-19-000033-index.htm,297 KB,2019-05-16,2019,0001383395,SEQUANS COMMUNICATIONS
293,https://www.sec.gov/Archives/edgar/data/883902/000088390219000031/0000883902-19-000031-index.htm,109 KB,2019-05-30,2019,0000883902,"Cornerstone Building Brands, Inc."
300,https://www.sec.gov/Archives/edgar/data/784199/000078419919000128/0000784199-19-000128-index.htm,82 KB,2019-05-31,2019,0000784199,CRYOLIFE INC
306,https://www.sec.gov/Archives/edgar/data/1122976/000112297619000016/0001122976-19-000016-index.htm,86 KB,2019-05-31,2019,0001122976,POLYONE CORP
320,https://www.sec.gov/Archives/edgar/data/806172/000117152019000218/0001171520-19-000218-index.htm,22 KB,2019-05-31,2019,0000806172,SONO TEK CORP
326,https://www.sec.gov/Archives/edgar/data/1638290/000156459019020943/0001564590-19-020943-index.htm,43 KB,2019-05-30,2019,0001638290,"MasterCraft Boat Holdings, Inc."
329,https://www.sec.gov/Archives/edgar/data/1474432/000162828019007153/0001628280-19-007153-index.htm,41 KB,2019-05-23,2019,0001474432,"Pure Storage, Inc."
331,https://www.sec.gov/Archives/edgar/data/92122/000009212219000024/0000092122-19-000024-index.htm,55 KB,2019-05-31,2019,0000092122,SOUTHERN CO
334,https://www.sec.gov/Archives/edgar/data/746838/000074683819000075/0000746838-19-000075-index.htm,464 KB,2019-05-29,2019,0000746838,UNISYS CORP
340,https://www.sec.gov/Archives/edgar/data/829224/000082922419000026/0000829224-19-000026-index.htm,1 MB,2019-05-31,2019,0000829224,STARBUCKS CORP
346,https://www.sec.gov/Archives/edgar/data/1564408/000156459019021262/0001564590-19-021262-index.htm,139 KB,2019-05-31,2019,0001564408,Snap Inc
348,https://www.sec.gov/Archives/edgar/data/1043337/000114420419029208/0001144204-19-029208-index.htm,104 KB,2019-05-31,2019,0001043337,STONERIDGE INC
354,https://www.sec.gov/Archives/edgar/data/1142596/000156459019021284/0001564590-19-021284-index.htm,94 KB,2019-05-31,2019,0001142596,NUVASIVE INC
363,https://www.sec.gov/Archives/edgar/data/1723089/000172308919000083/0001723089-19-000083-index.htm,30 KB,2019-05-31,2019,0001723089,Apergy Corp
364,https://www.sec.gov/Archives/edgar/data/97745/000009774519000021/0000097745-19-000021-index.htm,74 KB,2019-05-31,2019,0000097745,THERMO FISHER SCIENTIFIC INC.
371,https://www.sec.gov/Archives/edgar/data/80420/000008042019000019/0000080420-19-000019-index.htm,324 KB,2019-05-29,2019,0000080420,POWELL INDUSTRIES INC
377,https://www.sec.gov/Archives/edgar/data/61004/000156459019021232/0001564590-19-021232-index.htm,54 KB,2019-05-31,2019,0000061004,LGL GROUP INC
383,https://www.sec.gov/Archives/edgar/data/1489096/000148909619000103/0001489096-19-000103-index.htm,40 KB,2019-05-31,2019,0001489096,"Thermon Group Holdings, Inc."
389,https://www.sec.gov/Archives/edgar/data/814453/000119312519159632/0001193125-19-159632-index.htm,59 KB,2019-05-29,2019,0000814453,NEWELL BRANDS INC
395,https://www.sec.gov/Archives/edgar/data/832988/000083298819000028/0000832988-19-000028-index.htm,154 KB,2019-05-28,2019,0000832988,SIGNET JEWELERS LTD
409,https://www.sec.gov/Archives/edgar/data/1424929/000142492919000045/0001424929-19-000045-index.htm,72 KB,2019-05-23,2019,0001424929,FOX FACTORY HOLDING CORP
414,https://www.sec.gov/Archives/edgar/data/1616543/000110465919033177/0001104659-19-033177-index.htm,43 KB,2019-05-31,2019,0001616543,"Senseonics Holdings, Inc."
416,https://www.sec.gov/Archives/edgar/data/7431/000156459019020396/0001564590-19-020396-index.htm,52 KB,2019-05-24,2019,0000007431,ARMSTRONG WORLD INDUSTRIES INC
422,https://www.sec.gov/Archives/edgar/data/313616/000119312519158415/0001193125-19-158415-index.htm,40 KB,2019-05-28,2019,0000313616,DANAHER CORP /DE/
428,https://www.sec.gov/Archives/edgar/data/88948/000143774919010866/0001437749-19-010866-index.htm,14 KB,2019-05-28,2019,0000088948,Seneca Foods Corp
434,https://www.sec.gov/Archives/edgar/data/724910/000072491019000013/0000724910-19-000013-index.htm,25 KB,2019-05-13,2019,0000724910,NVE CORP /NEW/
445,https://www.sec.gov/Archives/edgar/data/1323885/000132388519000024/0001323885-19-000024-index.htm,644 KB,2019-05-30,2019,0001323885,"AtriCure, Inc."
451,https://www.sec.gov/Archives/edgar/data/1563411/000119312519161310/0001193125-19-161310-index.htm,16 KB,2019-05-30,2019,0001563411,Constellium SE
457,https://www.sec.gov/Archives/edgar/data/39368/000143774919011143/0001437749-19-011143-index.htm,464 KB,2019-05-31,2019,0000039368,FULLER H B CO
463,https://www.sec.gov/Archives/edgar/data/1567892/000156789219000026/0001567892-19-000026-index.htm,239 KB,2019-05-31,2019,0001567892,Mallinckrodt plc
474,https://www.sec.gov/Archives/edgar/data/84748/000008474819000024/0000084748-19-000024-index.htm,22 KB,2019-05-31,2019,0000084748,ROGERS CORP
480,https://www.sec.gov/Archives/edgar/data/67716/000006771619000049/0000067716-19-000049-index.htm,399 KB,2019-05-30,2019,0000067716,MDU RESOURCES GROUP INC
486,https://www.sec.gov/Archives/edgar/data/54381/000005438119000027/0000054381-19-000027-index.htm,74 KB,2019-05-28,2019,0000054381,KAMAN Corp
498,https://www.sec.gov/Archives/edgar/data/723125/000072312519000027/0000723125-19-000027-index.htm,161 KB,2019-05-31,2019,0000723125,MICRON TECHNOLOGY INC
504,https://www.sec.gov/Archives/edgar/data/1637655/000163765519000109/0001637655-19-000109-index.htm,74 KB,2019-05-30,2019,0001637655,Horizon Global Corp
508,https://www.sec.gov/Archives/edgar/data/1260221/000126022119000018/0001260221-19-000018-index.htm,45 KB,2019-05-29,2019,0001260221,TransDigm Group INC
514,https://www.sec.gov/Archives/edgar/data/1439288/000143928819000091/0001439288-19-000091-index.htm,506 KB,2019-05-31,2019,0001439288,Rexnord Corp
520,https://www.sec.gov/Archives/edgar/data/68709/000006870919000026/0000068709-19-000026-index.htm,256 KB,2019-05-17,2019,0000068709,MTS SYSTEMS CORP
527,https://www.sec.gov/Archives/edgar/data/836157/000119312519161801/0001193125-19-161801-index.htm,83 KB,2019-05-31,2019,0000836157,LINDSAY CORP
533,https://www.sec.gov/Archives/edgar/data/1519751/000119312519159631/0001193125-19-159631-index.htm,237 KB,2019-05-29,2019,0001519751,"Fortune Brands Home & Security, Inc."
539,https://www.sec.gov/Archives/edgar/data/49938/000119312519154023/0001193125-19-154023-index.htm,13 KB,2019-05-22,2019,0000049938,IMPERIAL OIL LTD
546,https://www.sec.gov/Archives/edgar/data/1108967/000143774919010835/0001437749-19-010835-index.htm,99 KB,2019-05-24,2019,0001108967,"CUI Global, Inc."
552,https://www.sec.gov/Archives/edgar/data/827187/000156459019020325/0001564590-19-020325-index.htm,441 KB,2019-05-23,2019,0000827187,Sleep Number Corp
558,https://www.sec.gov/Archives/edgar/data/76321/000007632119000051/0000076321-19-000051-index.htm,69 KB,2019-05-29,2019,0000076321,PARKER DRILLING CO /DE/
564,https://www.sec.gov/Archives/edgar/data/1388658/000156459019021263/0001564590-19-021263-index.htm,35 KB,2019-05-31,2019,0001388658,"iRhythm Technologies, Inc."
565,https://www.sec.gov/Archives/edgar/data/945114/000094511419000031/0000945114-19-000031-index.htm,21 KB,2019-05-31,2019,0000945114,SYSTEMAX INC
571,https://www.sec.gov/Archives/edgar/data/310764/000031076419000097/0000310764-19-000097-index.htm,918 KB,2019-05-31,2019,0000310764,STRYKER CORP
581,https://www.sec.gov/Archives/edgar/data/102729/000110465919032922/0001104659-19-032922-index.htm,36 KB,2019-05-31,2019,0000102729,VALMONT INDUSTRIES INC
587,https://www.sec.gov/Archives/edgar/data/47111/000004711119000025/0000047111-19-000025-index.htm,29 KB,2019-05-22,2019,0000047111,HERSHEY CO
593,https://www.sec.gov/Archives/edgar/data/889348/000138713119004103/0001387131-19-004103-index.htm,52 KB,2019-05-31,2019,0000889348,CPI AEROSTRUCTURES INC
599,https://www.sec.gov/Archives/edgar/data/795403/000110465919032607/0001104659-19-032607-index.htm,564 KB,2019-05-30,2019,0000795403,WATTS WATER TECHNOLOGIES INC
605,https://www.sec.gov/Archives/edgar/data/1604778/000160477819000038/0001604778-19-000038-index.htm,481 KB,2019-05-24,2019,0001604778,"Qorvo, Inc."
610,https://www.sec.gov/Archives/edgar/data/313927/000119312519162218/0001193125-19-162218-index.htm,174 KB,2019-05-31,2019,0000313927,CHURCH & DWIGHT CO INC /DE/
616,https://www.sec.gov/Archives/edgar/data/95029/000117494719000747/0001174947-19-000747-index.htm,25 KB,2019-05-31,2019,0000095029,STURM RUGER & CO INC
622,https://www.sec.gov/Archives/edgar/data/706688/000070668819000129/0000706688-19-000129-index.htm,35 KB,2019-05-17,2019,0000706688,AARON'S INC
628,https://www.sec.gov/Archives/edgar/data/1577552/000110465919032952/0001104659-19-032952-index.htm,28 KB,2019-05-31,2019,0001577552,Alibaba Group Holding Ltd
631,https://www.sec.gov/Archives/edgar/data/933034/000114036119009355/0001140361-19-009355-index.htm,111 KB,2019-05-17,2019,0000933034,STRATTEC SECURITY CORP
637,https://www.sec.gov/Archives/edgar/data/1070235/000107023519000024/0001070235-19-000024-index.htm,691 KB,2019-05-31,2019,0001070235,BLACKBERRY Ltd
643,https://www.sec.gov/Archives/edgar/data/884217/000110465919031823/0001104659-19-031823-index.htm,49 KB,2019-05-24,2019,0000884217,TAILORED BRANDS INC
649,https://www.sec.gov/Archives/edgar/data/87347/000119312519146484/0001193125-19-146484-index.htm,327 KB,2019-05-14,2019,0000087347,SCHLUMBERGER LIMITED/NV
655,https://www.sec.gov/Archives/edgar/data/875355/000165495419006666/0001654954-19-006666-index.htm,70 KB,2019-05-29,2019,0000875355,INSIGNIA SYSTEMS INC/MN
661,https://www.sec.gov/Archives/edgar/data/10456/000119312519157069/0001193125-19-157069-index.htm,154 KB,2019-05-24,2019,0000010456,BAXTER INTERNATIONAL INC
667,https://www.sec.gov/Archives/edgar/data/70866/000119312519154042/0001193125-19-154042-index.htm,31 KB,2019-05-22,2019,0000070866,NCR CORP
673,https://www.sec.gov/Archives/edgar/data/1026980/000117184319003477/0001171843-19-003477-index.htm,9 KB,2019-05-17,2019,0001026980,ASIA PACIFIC WIRE & CABLE CORP LTD
679,https://www.sec.gov/Archives/edgar/data/1078271/000156459019020759/0001564590-19-020759-index.htm,156 KB,2019-05-29,2019,0001078271,EXTREME NETWORKS INC
685,https://www.sec.gov/Archives/edgar/data/1001082/000155837019005313/0001558370-19-005313-index.htm,654 KB,2019-05-24,2019,0001001082,DISH Network CORP
687,https://www.sec.gov/Archives/edgar/data/77476/000007747619000048/0000077476-19-000048-index.htm,184 KB,2019-05-24,2019,0000077476,PEPSICO INC
688,https://www.sec.gov/Archives/edgar/data/1140859/000114085919000020/0001140859-19-000020-index.htm,56 KB,2019-05-30,2019,0001140859,AMERISOURCEBERGEN CORP
694,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000063/0001018724-19-000063-index.htm,335 KB,2019-05-31,2019,0001018724,AMAZON COM INC
701,https://www.sec.gov/Archives/edgar/data/22444/000119312519161772/0001193125-19-161772-index.htm,17 KB,2019-05-31,2019,0000022444,COMMERCIAL METALS Co
707,https://www.sec.gov/Archives/edgar/data/1641991/000164199119000042/0001641991-19-000042-index.htm,412 KB,2019-05-30,2019,0001641991,"SPX FLOW, Inc."
711,https://www.sec.gov/Archives/edgar/data/896622/000155837019005259/0001558370-19-005259-index.htm,139 KB,2019-05-23,2019,0000896622,APTARGROUP INC
717,https://www.sec.gov/Archives/edgar/data/1136869/000119312519161256/0001193125-19-161256-index.htm,177 KB,2019-05-30,2019,0001136869,"ZIMMER BIOMET HOLDINGS, INC."
723,https://www.sec.gov/Archives/edgar/data/93556/000009355619000024/0000093556-19-000024-index.htm,458 KB,2019-05-30,2019,0000093556,"STANLEY BLACK & DECKER, INC."
733,https://www.sec.gov/Archives/edgar/data/1275014/000095010319007084/0000950103-19-007084-index.htm,46 KB,2019-05-30,2019,0001275014,"Ultra Clean Holdings, Inc."
739,https://www.sec.gov/Archives/edgar/data/715153/000119312519157523/0001193125-19-157523-index.htm,163 KB,2019-05-28,2019,0000715153,HONDA MOTOR CO LTD
745,https://www.sec.gov/Archives/edgar/data/1390844/000119312519160388/0001193125-19-160388-index.htm,43 KB,2019-05-30,2019,0001390844,WABCO Holdings Inc.
751,https://www.sec.gov/Archives/edgar/data/1325702/000119312519162836/0001193125-19-162836-index.htm,120 KB,2019-05-31,2019,0001325702,MAGNACHIP SEMICONDUCTOR Corp
757,https://www.sec.gov/Archives/edgar/data/1324948/000161577419008332/0001615774-19-008332-index.htm,19 KB,2019-05-23,2019,0001324948,RBC Bearings INC
770,https://www.sec.gov/Archives/edgar/data/1091907/000089843219000872/0000898432-19-000872-index.htm,25 KB,2019-05-29,2019,0001091907,WORLD WRESTLING ENTERTAINMENTINC
776,https://www.sec.gov/Archives/edgar/data/1625791/000121390019009680/0001213900-19-009680-index.htm,341 KB,2019-05-29,2019,0001625791,Kornit Digital Ltd.
778,https://www.sec.gov/Archives/edgar/data/1336920/000133692019000028/0001336920-19-000028-index.htm,42 KB,2019-05-29,2019,0001336920,"Leidos Holdings, Inc."
784,https://www.sec.gov/Archives/edgar/data/883984/000088398419000021/0000883984-19-000021-index.htm,34 KB,2019-05-31,2019,0000883984,ICU MEDICAL INC/DE
787,https://www.sec.gov/Archives/edgar/data/1068148/000106814819000007/0001068148-19-000007-index.htm,57 KB,2019-05-30,2019,0001068148,PARK OHIO INDUSTRIES INC/OH
793,https://www.sec.gov/Archives/edgar/data/38725/000003872519000162/0000038725-19-000162-index.htm,66 KB,2019-05-31,2019,0000038725,FRANKLIN ELECTRIC CO INC
809,https://www.sec.gov/Archives/edgar/data/704532/000156459019021199/0001564590-19-021199-index.htm,72 KB,2019-05-31,2019,0000704532,NANOMETRICS INC
815,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000040/0001326801-19-000040-index.htm,68 KB,2019-05-24,2019,0001326801,Facebook Inc
818,https://www.sec.gov/Archives/edgar/data/1632790/000163279019000029/0001632790-19-000029-index.htm,122 KB,2019-05-31,2019,0001632790,"ENERGIZER HOLDINGS, INC."
822,https://www.sec.gov/Archives/edgar/data/1299130/000129913019000035/0001299130-19-000035-index.htm,91 KB,2019-05-20,2019,0001299130,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC."
828,https://www.sec.gov/Archives/edgar/data/1408710/000119312519154548/0001193125-19-154548-index.htm,159 KB,2019-05-23,2019,0001408710,Fabrinet
834,https://www.sec.gov/Archives/edgar/data/729580/000072958019000017/0000729580-19-000017-index.htm,130 KB,2019-05-30,2019,0000729580,BEL FUSE INC /NJ
845,https://www.sec.gov/Archives/edgar/data/1035267/000103526719000076/0001035267-19-000076-index.htm,525 KB,2019-05-31,2019,0001035267,INTUITIVE SURGICAL INC
851,https://www.sec.gov/Archives/edgar/data/1262039/000119312519161259/0001193125-19-161259-index.htm,47 KB,2019-05-30,2019,0001262039,"Fortinet, Inc."
857,https://www.sec.gov/Archives/edgar/data/1498301/000149830119000043/0001498301-19-000043-index.htm,87 KB,2019-05-29,2019,0001498301,"Ascena Retail Group, Inc."
863,https://www.sec.gov/Archives/edgar/data/1086434/000114420419027609/0001144204-19-027609-index.htm,370 KB,2019-05-22,2019,0001086434,AUDIOCODES LTD
869,https://www.sec.gov/Archives/edgar/data/1345126/000134512619000029/0001345126-19-000029-index.htm,504 KB,2019-05-31,2019,0001345126,Compass Diversified Holdings
875,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000093/0001326380-19-000093-index.htm,69 KB,2019-05-31,2019,0001326380,GameStop Corp.
886,https://www.sec.gov/Archives/edgar/data/6176/000119312519155336/0001193125-19-155336-index.htm,132 KB,2019-05-23,2019,0000006176,AMPCO PITTSBURGH CORP
892,https://www.sec.gov/Archives/edgar/data/854775/000110465919032257/0001104659-19-032257-index.htm,417 KB,2019-05-29,2019,0000854775,DIGI INTERNATIONAL INC
901,https://www.sec.gov/Archives/edgar/data/1567094/000119312519161859/0001193125-19-161859-index.htm,130 KB,2019-05-31,2019,0001567094,CNH Industrial N.V.
907,https://www.sec.gov/Archives/edgar/data/1123134/000119312519157514/0001193125-19-157514-index.htm,16 KB,2019-05-28,2019,0001123134,CHIPMOS TECHNOLOGIES INC
910,https://www.sec.gov/Archives/edgar/data/858877/000119312519155402/0001193125-19-155402-index.htm,222 KB,2019-05-23,2019,0000858877,"CISCO SYSTEMS, INC."
916,https://www.sec.gov/Archives/edgar/data/1047127/000104712719000026/0001047127-19-000026-index.htm,378 KB,2019-05-29,2019,0001047127,"AMKOR TECHNOLOGY, INC."
927,https://www.sec.gov/Archives/edgar/data/110471/000011047119000027/0000110471-19-000027-index.htm,53 KB,2019-05-31,2019,0000110471,WOLVERINE WORLD WIDE INC /DE/
933,https://www.sec.gov/Archives/edgar/data/2488/000000248819000077/0000002488-19-000077-index.htm,349 KB,2019-05-29,2019,0000002488,ADVANCED MICRO DEVICES INC
939,https://www.sec.gov/Archives/edgar/data/1302028/000119312519161770/0001193125-19-161770-index.htm,235 KB,2019-05-31,2019,0001302028,"Manitex International, Inc."
950,https://www.sec.gov/Archives/edgar/data/91440/000009144019000011/0000091440-19-000011-index.htm,84 KB,2019-05-31,2019,0000091440,SNAP-ON Inc
956,https://www.sec.gov/Archives/edgar/data/898293/000119312519162844/0001193125-19-162844-index.htm,93 KB,2019-05-31,2019,0000898293,JABIL INC
973,https://www.sec.gov/Archives/edgar/data/1262823/000126282319000029/0001262823-19-000029-index.htm,33 KB,2019-05-24,2019,0001262823,WESTLAKE CHEMICAL CORP
979,https://www.sec.gov/Archives/edgar/data/855658/000119312519162405/0001193125-19-162405-index.htm,256 KB,2019-05-31,2019,0000855658,LATTICE SEMICONDUCTOR CORP
985,https://www.sec.gov/Archives/edgar/data/818686/000119312519162425/0001193125-19-162425-index.htm,41 KB,2019-05-31,2019,0000818686,TEVA PHARMACEUTICAL INDUSTRIES LTD
994,https://www.sec.gov/Archives/edgar/data/810136/000114036119010177/0001140361-19-010177-index.htm,25 KB,2019-05-31,2019,0000810136,PHOTRONICS INC
996,https://www.sec.gov/Archives/edgar/data/1219601/000119312519158435/0001193125-19-158435-index.htm,37 KB,2019-05-28,2019,0001219601,CROWN HOLDINGS INC
1003,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000041/0001413329-19-000041-index.htm,358 KB,2019-05-23,2019,0001413329,Philip Morris International Inc.
1009,https://www.sec.gov/Archives/edgar/data/1524472/000152447219000037/0001524472-19-000037-index.htm,329 KB,2019-05-28,2019,0001524472,Xylem Inc.
1015,https://www.sec.gov/Archives/edgar/data/98752/000155837019005533/0001558370-19-005533-index.htm,36 KB,2019-06-06,2019,0000098752,TOROTEL INC
1021,https://www.sec.gov/Archives/edgar/data/50863/000119312519148610/0001193125-19-148610-index.htm,329 KB,2019-05-16,2019,0000050863,INTEL CORP
1030,https://www.sec.gov/Archives/edgar/data/791915/000079191519000016/0000791915-19-000016-index.htm,644 KB,2019-05-23,2019,0000791915,CYPRESS SEMICONDUCTOR CORP /DE/
1036,https://www.sec.gov/Archives/edgar/data/808439/000117891319001613/0001178913-19-001613-index.htm,107 KB,2019-05-30,2019,0000808439,TAT TECHNOLOGIES LTD
1045,https://www.sec.gov/Archives/edgar/data/31462/000155837019005420/0001558370-19-005420-index.htm,525 KB,2019-05-31,2019,0000031462,ECOLAB INC.
1051,https://www.sec.gov/Archives/edgar/data/4281/000114420419029253/0001144204-19-029253-index.htm,213 KB,2019-05-31,2019,0000004281,Arconic Inc.
1062,https://www.sec.gov/Archives/edgar/data/353569/000035356919000036/0000353569-19-000036-index.htm,308 KB,2019-05-31,2019,0000353569,QUIDEL CORP /DE/
1068,https://www.sec.gov/Archives/edgar/data/28823/000002882319000149/0000028823-19-000149-index.htm,391 KB,2019-05-31,2019,0000028823,"DIEBOLD NIXDORF, Inc"
1074,https://www.sec.gov/Archives/edgar/data/820313/000110465919033029/0001104659-19-033029-index.htm,428 KB,2019-05-31,2019,0000820313,AMPHENOL CORP /DE/
