Year,Type,Count
2019,N-1A,4
2019,N-1A/A,15
2019,N-2,32
2019,N-2/A,35
2019,N-23C-2,14
2019,N-23C3A,61
2019,N-23C3A/A,2
2019,N-23C3B,1
2019,N-2MEF,1
2019,N-30B-2,170
2019,N-30D,109
2019,N-4,9
2019,N-4/A,7
2019,N-54A,1
2019,N-6,15
2019,N-8A,25
2019,N-8A/A,3
2019,N-8F,26
2019,N-8F NTC,29
2019,N-8F ORDR,26
2019,N-8F/A,5
2019,N-CEN,1943
2019,N-CEN/A,229
2019,N-CR,1
2019,N-CSR,1355
2019,N-CSR/A,45
2019,N-CSRS,527
2019,N-CSRS/A,3
2019,N-MFP2,1249
2019,N-MFP2/A,24
2019,N-PX,10
2019,N-PX/A,1
2019,N-Q,1441
2019,N-Q/A,4
2019,NRSRO-CE,10
2019,NRSRO-UPD,3
2019,NSAR-B,1
2019,NSAR-B/A,2
2019,NSAR-U,11
2019,NT 10-K,236
2019,NT 10-K/A,2
2019,NT 10-Q,156
2019,NT 20-F,6
2019,NT N-CEN,65
2019,NT N-MFP2,1
2019,NT-NCEN,45
2019,NT-NCSR,8
2019,NT-NCSR/A,1
2019,NTFNCEN,10
2019,POS 8C,31
2019,POS AM,201
2019,POS AMI,60
2019,POS EX,89
2019,POS462B,1
2019,POSASR,54
2019,PRE 14A,299
2019,PRE 14C,74
2019,PREC14A,17
2019,PREM14A,27
2019,PREM14C,1
2019,PREN14A,1
2019,PRER14A,19
2019,PRER14C,6
2019,PRRN14A,4
2019,PX14A6G,39
2019,QRTLYRPT,5
2019,QUALIF,38
2019,REG-NR,1
2019,REVOKED,85
2019,RW,57
2019,RW WD,1
2019,S-1,139
2019,S-1/A,257
2019,S-11,4
2019,S-11/A,1
2019,S-11MEF,1
2019,S-1MEF,10
2019,S-3,138
2019,S-3/A,47
2019,S-3ASR,121
2019,S-3D,8
2019,S-3DPOS,7
2019,S-3MEF,3
2019,S-4,57
2019,S-4/A,77
2019,S-4MEF,2
2019,S-6,244
2019,S-6/A,76
2019,S-8,559
2019,S-8 POS,513
2019,S-B/A,3
2019,SC 13D,311
2019,SC 13D/A,1042
2019,SC 13E3,3
2019,SC 13E3/A,23
2019,SC 13G,4268
2019,SC 13G/A,13546
2019,SC 14D9,12
2019,SC 14D9/A,33
2019,SC 14F1,4
2019,SC TO-C,22
2019,SC TO-I,112
2019,SC TO-I/A,156
2019,SC TO-T,11
2019,SC TO-T/A,48
2019,SC14D1F,1
2019,SC14D1F/A,4
2019,SC14D9C,9
2019,SC14D9F,1
2019,SD,9
2019,SE,1
2019,SEC ACTION,1
2019,SEC STAFF ACTION,20
2019,SF-3,10
2019,SF-3/A,15
2019,SUPPL,25
2019,T-3/A,6
2019,TA-1,5
2019,TA-1/A,43
2019,TA-2,240
2019,TA-2/A,9
2019,TA-W,4
2019,UPLOAD,472
2019,X-17A-5,2258
2019,X-17A-5/A,56
2018,1,3
2018,1-A,144
2018,1-A POS,196
2018,1-A-W,31
2018,1-A-W/A,2
2018,1-A/A,384
2018,1-K,87
2018,1-K/A,4
2018,1-SA,102
2018,1-SA/A,7
2018,1-U,356
2018,1-U/A,5
2018,1-Z,24
2018,1-Z-W,1
2018,1-Z/A,1
2018,1/A,208
2018,10-12B,25
2018,10-12B/A,53
2018,10-12G,89
2018,10-12G/A,156
2018,10-D,7232
2018,10-D/A,61
2018,10-K,6827
2018,10-K/A,989
2018,10-KT,28
2018,10-KT/A,6
2018,10-Q,18688
2018,10-Q/A,658
2018,10-QT,6
2018,11-K,1139
2018,11-K/A,22
2018,13F-HR,19179
2018,13F-HR/A,1041
2018,13F-NT,6253
2018,13F-NT/A,25
2018,13FCONP,1
2018,144,231
2018,144/A,4
2018,15-12B,269
2018,15-12B/A,1
2018,15-12G,268
2018,15-12G/A,24
2018,15-15D,212
2018,15-15D/A,9
2018,15F-12B,7
2018,15F-12G,2
2018,15F-15D,2
2018,18-K,37
2018,18-K/A,128
2018,19B-4E,2160
2018,20-F,678
2018,20-F/A,160
2018,20FR12B,9
2018,20FR12B/A,10
2018,20FR12G,3
2018,20FR12G/A,6
2018,24F-2NT,6748
2018,24F-2NT/A,33
2018,25,100
2018,25-NSE,825
2018,25-NSE/A,4
2018,253G1,17
2018,253G2,355
2018,253G3,1
2018,3,14196
2018,3/A,601
2018,305B2,84
2018,4,180460
2018,4/A,3673
2018,40-17F1,49
2018,40-17F1/A,1
2018,40-17F2,626
2018,40-17F2/A,4
2018,40-17G,942
2018,40-17G/A,74
2018,40-202A,2
2018,40-206A,2
2018,40-206A/A,1
2018,40-24B2,135
2018,40-24B2/A,1
2018,40-33,16
2018,40-6B,1
2018,40-6B/A,3
2018,40-8B25,16
2018,40-8F-2,1
2018,40-8F-2/A,3
2018,40-APP,130
2018,40-APP/A,158
2018,40-F,126
2018,40-F/A,21
2018,40-OIP,1
2018,40-OIP/A,5
2018,40FR12B,10
2018,40FR12B/A,6
2018,40FR12G,1
2018,424A,2
2018,424B1,49
2018,424B2,31980
2018,424B3,5616
2018,424B4,428
2018,424B5,2285
2018,424B7,197
2018,424B8,150
2018,424H,155
2018,424H/A,14
2018,425,3913
2018,485APOS,1007
2018,485BPOS,8178
2018,485BXT,1766
2018,486APOS,19
2018,486BPOS,63
2018,486BXT,21
2018,487,973
2018,497,15499
2018,497AD,229
2018,497J,5234
2018,497K,22047
2018,5,3040
2018,5/A,81
2018,6-K,21604
2018,6-K/A,273
2018,8-A12B,828
2018,8-A12B/A,118
2018,8-A12G,81
2018,8-A12G/A,11
2018,8-K,66433
2018,8-K/A,1793
2018,8-K12B,30
2018,8-K12B/A,3
2018,8-K12G3,11
2018,8-K15D5,1
2018,8-M,9
2018,9-M,1
2018,ABS-15G,1664
2018,ABS-15G/A,455
2018,ABS-EE,1933
2018,ABS-EE/A,23
2018,ADV-H-T,4
2018,ADV-NR,87
2018,ANNLRPT,8
2018,APP NTC,66
2018,APP ORDR,54
2018,APP WD,10
2018,ARS,27
2018,AW,173
2018,AW WD,3
2018,C,763
2018,C-AR,218
2018,C-AR-W,3
2018,C-AR/A,16
2018,C-TR,16
2018,C-TR-W,1
2018,C-U,366
2018,C-U-W,2
2018,C-W,54
2018,C/A,718
2018,C/A-W,1
2018,CB,41
2018,CB/A,41
2018,CERT,792
2018,CERTCBO,27
2018,CERTNAS,12
2018,CFPORTAL,7
2018,CFPORTAL-W,3
2018,CFPORTAL/A,48
2018,CORRESP,8047
2018,CT ORDER,1277
2018,D,27266
2018,D/A,17419
2018,DEF 14A,4889
2018,DEF 14C,466
2018,DEFA14A,5125
2018,DEFA14C,15
2018,DEFC14A,68
2018,DEFM14A,246
2018,DEFM14C,12
2018,DEFN14A,1
2018,DEFR14A,115
2018,DEFR14C,9
2018,DEL AM,47
2018,DFAN14A,543
2018,DFRN14A,8
2018,DOS,27
2018,DOS/A,30
2018,DOSLTR,16
2018,DRS,387
2018,DRS/A,507
2018,DRSLTR,419
2018,DSTRBRPT,96
2018,DSTRBRPT/A,2
2018,EFFECT,3168
2018,F-1,113
2018,F-1/A,302
2018,F-10,52
2018,F-10/A,52
2018,F-10EF,1
2018,F-1MEF,12
2018,F-3,81
2018,F-3/A,38
2018,F-3ASR,45
2018,F-3D,3
2018,F-3MEF,1
2018,F-4,26
2018,F-4/A,46
2018,F-6,87
2018,F-6 POS,144
2018,F-6/A,21
2018,F-6EF,168
2018,F-7,3
2018,F-7/A,2
2018,F-8 POS,2
2018,F-8/A,1
2018,F-80,2
2018,F-80/A,1
2018,F-80POS,4
2018,F-N,28
2018,F-X,119
2018,F-X/A,9
2018,FOCUSN,1317
2018,FOCUSN/A,29
2018,FWP,10589
2018,G-405,1
2018,G-FIN,2
2018,G-FIN/A,10
2018,IRANNOTICE,334
2018,MA,34
2018,MA-A,333
2018,MA-I,468
2018,MA-I/A,1403
2018,MA-W,47
2018,MA/A,244
2018,MSD/A,18
2018,N-14,149
2018,N-14 8C,18
2018,N-14 8C/A,24
2018,N-14/A,80
2018,N-14MEF,1
2018,N-18F1,28
2018,N-1A,36
2018,N-1A/A,41
2018,N-2,141
2018,N-2/A,217
2018,N-23C-2,113
2018,N-23C3A,184
2018,N-23C3A/A,4
2018,N-23C3B,4
2018,N-23C3C/A,1
2018,N-2MEF,3
2018,N-30B-2,425
2018,N-30D,272
2018,N-30D/A,3
2018,N-4,22
2018,N-4/A,14
2018,N-54A,5
2018,N-54C,8
2018,N-6,8
2018,N-6/A,9
2018,N-6F,3
2018,N-8A,87
2018,N-8A/A,15
2018,N-8B-2/A,4
2018,N-8F,98
2018,N-8F NTC,98
2018,N-8F ORDR,96
2018,N-8F/A,71
2018,N-CEN,741
2018,N-CEN/A,53
2018,N-CR,6
2018,N-CSR,3287
2018,N-CSR/A,130
2018,N-CSRS,3246
2018,N-CSRS/A,46
2018,N-MFP2,5113
2018,N-MFP2/A,199
2018,N-PX,2792
2018,N-PX/A,32
2018,N-Q,6184
2018,N-Q/A,29
2018,NRSRO-CE,10
2018,NRSRO-CE/A,6
2018,NRSRO-UPD,32
2018,NSAR-A,989
2018,NSAR-A/A,71
2018,NSAR-B,1612
2018,NSAR-B/A,118
2018,NSAR-BT,6
2018,NSAR-U,723
2018,NSAR-U/A,10
2018,NT 10-K,968
2018,NT 10-K/A,12
2018,NT 10-Q,1664
2018,NT 10-Q/A,7
2018,NT 11-K,14
2018,NT 20-F,77
2018,NT 20-F/A,2
2018,NT N-CEN,13
2018,NT N-MFP2,67
2018,NT-NCEN,5
2018,NT-NCSR,9
2018,NT-NCSR/A,3
2018,NT-NSAR,5
2018,NT-NSAR/A,1
2018,NTFNCSR,3
2018,OIP NTC,2
2018,OIP ORDR,2
2018,POS 8C,164
2018,POS AM,733
2018,POS AMI,190
2018,POS EX,416
2018,POS462B,7
2018,POSASR,141
2018,PRE 14A,989
2018,PRE 14C,289
2018,PREC14A,89
2018,PREM14A,147
2018,PREM14C,11
2018,PREN14A,6
2018,PRER14A,171
2018,PRER14C,65
2018,PRRN14A,55
2018,PX14A6G,169
2018,PX14A6N,1
2018,QRTLYRPT,16
2018,QRTLYRPT/A,1
2018,QUALIF,260
2018,REG-NR,8
2018,REVOKED,98
2018,RW,329
2018,RW WD,14
2018,S-1,768
2018,S-1/A,1575
2018,S-11,13
2018,S-11/A,38
2018,S-11MEF,3
2018,S-1MEF,111
2018,S-3,710
2018,S-3/A,302
2018,S-3ASR,562
2018,S-3D,11
2018,S-3DPOS,21
2018,S-3MEF,21
2018,S-4,324
2018,S-4 POS,5
2018,S-4/A,373
2018,S-4MEF,5
2018,S-6,1113
2018,S-6/A,441
2018,S-8,2040
2018,S-8 POS,1755
2018,S-B,17
2018,S-B/A,11
2018,SC 13D,1291
2018,SC 13D/A,4192
2018,SC 13E3,30
2018,SC 13E3/A,110
2018,SC 13G,5738
2018,SC 13G/A,15806
2018,SC 14D9,76
2018,SC 14D9/A,242
2018,SC 14F1,48
2018,SC 14F1/A,4
2018,SC 14N,1
2018,SC TO-C,138
2018,SC TO-I,488
2018,SC TO-I/A,648
2018,SC TO-T,67
2018,SC TO-T/A,275
2018,SC13E4F,1
2018,SC13E4F/A,2
2018,SC14D1F,2
2018,SC14D1F/A,4
2018,SC14D9C,64
2018,SC14D9F,2
2018,SD,1115
2018,SD/A,4
2018,SDR/A,2
2018,SE,14
2018,SEC STAFF ACTION,22
2018,SEC STAFF LETTER,1
2018,SF-1,1
2018,SF-1/A,4
2018,SF-3,35
2018,SF-3/A,26
2018,SUPPL,67
2018,T-3,20
2018,T-3/A,18
2018,TA-1,6
2018,TA-1/A,158
2018,TA-2,266
2018,TA-2/A,27
2018,TA-W,13
2018,TACO,36
2018,UPLOAD,5582
2018,X-17A-5,3681
2018,X-17A-5/A,180
2017,1-A,125
2017,1-A POS,148
2017,1-A-W,22
2017,1-A-W/A,1
2017,1-A/A,353
2017,1-E/A,1
2017,1-K,59
2017,1-K/A,7
2017,1-SA,76
2017,1-SA/A,6
2017,1-U,208
2017,1-U/A,2
2017,1-Z,24
2017,1-Z-W,1
2017,1-Z/A,1
2017,1/A,182
2017,10-12B,10
2017,10-12B/A,38
2017,10-12G,90
2017,10-12G/A,134
2017,10-D,6707
2017,10-D/A,86
2017,10-K,6984
2017,10-K/A,914
2017,10-KT,19
2017,10-KT/A,3
2017,10-Q,19252
2017,10-Q/A,730
2017,10-QT,9
2017,10-QT/A,2
2017,11-K,1222
2017,11-K/A,14
2017,11-KT,2
2017,13F-HR,17624
2017,13F-HR/A,1026
2017,13F-NT,6088
2017,13F-NT/A,71
2017,144,282
2017,144/A,10
2017,15-12B,268
2017,15-12B/A,10
2017,15-12G,283
2017,15-12G/A,10
2017,15-15D,203
2017,15F-12B,6
2017,15F-12B/A,1
2017,15F-12G,8
2017,15F-12G/A,1
2017,15F-15D,3
2017,18-K,39
2017,18-K/A,130
2017,19B-4E,2015
2017,2-E,1
2017,20-F,660
2017,20-F/A,87
2017,20FR12B,3
2017,20FR12B/A,6
2017,20FR12G,1
2017,20FR12G/A,2
2017,24F-2NT,6865
2017,24F-2NT/A,66
2017,25,96
2017,25-NSE,752
2017,25-NSE/A,9
2017,25/A,2
2017,253G1,9
2017,253G2,247
2017,253G3,2
2017,253G4,1
2017,3,14010
2017,3/A,649
2017,305B2,89
2017,305B2/A,2
2017,34-12H,1
2017,4,180801
2017,4/A,3891
2017,40-17F1,38
2017,40-17F2,702
2017,40-17G,1043
2017,40-17G/A,94
2017,40-17GCS,13
2017,40-202A,1
2017,40-202A/A,2
2017,40-206A,4
2017,40-206A/A,1
2017,40-24B2,82
2017,40-24B2/A,1
2017,40-33,23
2017,40-33/A,1
2017,40-6B,4
2017,40-6B/A,5
2017,40-8B25,7
2017,40-APP,130
2017,40-APP/A,193
2017,40-F,128
2017,40-F/A,12
2017,40-OIP,2
2017,40-OIP/A,2
2017,40FR12B,4
2017,40FR12B/A,4
2017,424B1,55
2017,424B2,27149
2017,424B3,5497
2017,424B4,374
2017,424B5,2683
2017,424B7,210
2017,424B8,75
2017,424H,173
2017,424H/A,21
2017,425,3035
2017,485APOS,1319
2017,485BPOS,8606
2017,485BXT,2316
2017,486APOS,24
2017,486BPOS,72
2017,487,1055
2017,497,16417
2017,497AD,224
2017,497H2,1
2017,497J,5477
2017,497K,24280
2017,5,3079
2017,5/A,66
2017,6-K,20819
2017,6-K/A,228
2017,6B NTC,2
2017,6B ORDR,2
2017,8-A12B,811
2017,8-A12B/A,77
2017,8-A12G,78
2017,8-A12G/A,17
2017,8-K,68774
2017,8-K/A,2397
2017,8-K12B,20
2017,8-K12B/A,2
2017,8-K12G3,6
2017,8-K15D5,3
2017,8-M,2
2017,ABS-15G,1574
2017,ABS-15G/A,419
2017,ABS-EE,709
2017,ABS-EE/A,22
2017,ADV-H-C,2
2017,ADV-NR,57
2017,ANNLRPT,7
2017,APP NTC,74
2017,APP ORDR,70
2017,APP WD,17
2017,APP WD/A,1
2017,APP WDG,3
2017,ARS,30
2017,ARS/A,1
2017,AW,196
2017,AW WD,3
2017,C,524
2017,C-AR,59
2017,C-AR/A,9
2017,C-TR,1
2017,C-U,198
2017,C-U-W,1
2017,C-W,45
2017,C/A,496
2017,C/A-W,3
2017,CB,64
2017,CB/A,120
2017,CERT,64
2017,CERTARCA,6
2017,CERTBATS,35
2017,CERTNAS,254
2017,CERTNYS,380
2017,CFPORTAL,12
2017,CFPORTAL/A,49
2017,CORRESP,9157
2017,CT ORDER,1282
2017,D,24593
2017,D/A,17347
2017,DEF 14A,4964
2017,DEF 14C,513
2017,DEFA14A,5221
2017,DEFA14C,12
2017,DEFC14A,70
2017,DEFM14A,224
2017,DEFM14C,12
2017,DEFN14A,5
2017,DEFR14A,136
2017,DEFR14C,12
2017,DEL AM,54
2017,DFAN14A,606
2017,DFRN14A,7
2017,DOS,35
2017,DOS/A,46
2017,DOSLTR,37
2017,DRS,297
2017,DRS/A,398
2017,DRSLTR,410
2017,DSTRBRPT,98
2017,DSTRBRPT/A,2
2017,EFFECT,3362
2017,F-1,80
2017,F-1/A,226
2017,F-10,35
2017,F-10/A,38
2017,F-10EF,1
2017,F-10POS,3
2017,F-1MEF,13
2017,F-3,88
2017,F-3/A,41
2017,F-3ASR,42
2017,F-3D,6
2017,F-3MEF,1
2017,F-4,22
2017,F-4/A,43
2017,F-6,73
2017,F-6 POS,886
2017,F-6/A,10
2017,F-6EF,356
2017,F-7,4
2017,F-8,1
2017,F-8 POS,3
2017,F-80,2
2017,F-80POS,6
2017,F-N,36
2017,F-N/A,5
2017,F-X,98
2017,F-X/A,8
2017,FOCUSN,1506
2017,FOCUSN/A,52
2017,FWP,9096
2017,G-FIN/A,13
2017,G-FINW,1
2017,IRANNOTICE,375
2017,MA,39
2017,MA-A,316
2017,MA-I,619
2017,MA-I/A,2078
2017,MA-W,116
2017,MA/A,281
2017,MSD/A,22
2017,MSDW,2
2017,N-14,134
2017,N-14 8C,7
2017,N-14 8C/A,8
2017,N-14/A,100
2017,N-18F1,20
2017,N-1A,43
2017,N-1A/A,77
2017,N-2,132
2017,N-2/A,197
2017,N-23C-2,43
2017,N-23C3A,141
2017,N-23C3A/A,1
2017,N-23C3B,4
2017,N-23C3C/A,1
2017,N-2MEF,8
2017,N-30B-2,409
2017,N-30D,273
2017,N-4,26
2017,N-4/A,21
2017,N-54A,8
2017,N-54C,7
2017,N-6,6
2017,N-6/A,14
2017,N-6F,2
2017,N-8A,90
2017,N-8A/A,10
2017,N-8B-2/A,2
2017,N-8F,153
2017,N-8F NTC,158
2017,N-8F ORDR,154
2017,N-8F/A,67
2017,N-CR,5
2017,N-CSR,3289
2017,N-CSR/A,119
2017,N-CSRS,3287
2017,N-CSRS/A,29
2017,N-MFP1/A,25
2017,N-MFP2,5505
2017,N-MFP2/A,354
2017,N-PX,2819
2017,N-PX/A,50
2017,N-Q,6246
2017,N-Q/A,39
2017,NO ACT,273
2017,NRSRO-CE,10
2017,NRSRO-CE/A,6
2017,NRSRO-UPD,28
2017,NSAR-A,2771
2017,NSAR-A/A,133
2017,NSAR-AT,1
2017,NSAR-B,2762
2017,NSAR-B/A,222
2017,NSAR-BT,14
2017,NSAR-U,731
2017,NSAR-U/A,14
2017,NT 10-D,2
2017,NT 10-K,1069
2017,NT 10-K/A,17
2017,NT 10-Q,1872
2017,NT 10-Q/A,10
2017,NT 11-K,18
2017,NT 20-F,62
2017,NT 20-F/A,2
2017,NT N-MFP2,10
2017,NT-NCSR,11
2017,NT-NCSR/A,1
2017,NT-NSAR,17
2017,NT-NSAR/A,2
2017,NTFNCSR,1
2017,NTFNSAR,1
2017,OIP NTC,5
2017,OIP ORDR,1
2017,POS 8C,180
2017,POS AM,928
2017,POS AMI,212
2017,POS EX,399
2017,POS462B,2
2017,POSASR,159
2017,PRE 14A,1005
2017,PRE 14C,352
2017,PREC14A,77
2017,PREM14A,137
2017,PREM14C,15
2017,PREN14A,6
2017,PRER14A,210
2017,PRER14C,69
2017,PRRN14A,43
2017,PX14A6G,157
2017,PX14A6N,6
2017,QRTLYRPT,19
2017,QUALIF,169
2017,REG-NR,1
2017,REVOKED,155
2017,RW,271
2017,RW WD,12
2017,S-1,746
2017,S-1/A,1613
2017,S-11,34
2017,S-11/A,95
2017,S-11MEF,1
2017,S-1MEF,83
2017,S-3,812
2017,S-3/A,421
2017,S-3ASR,524
2017,S-3D,18
2017,S-3DPOS,23
2017,S-3MEF,18
2017,S-4,330
2017,S-4 POS,1
2017,S-4/A,426
2017,S-4MEF,5
2017,S-6,1221
2017,S-6/A,776
2017,S-8,2045
2017,S-8 POS,2064
2017,S-B,17
2017,S-B/A,13
2017,SC 13D,1336
2017,SC 13D/A,4148
2017,SC 13E3,24
2017,SC 13E3/A,93
2017,SC 13G,5829
2017,SC 13G/A,16396
2017,SC 14D9,85
2017,SC 14D9/A,295
2017,SC 14F1,44
2017,SC 14F1/A,3
2017,SC 14N,3
2017,SC 14N/A,4
2017,SC TO-C,191
2017,SC TO-I,501
2017,SC TO-I/A,720
2017,SC TO-T,77
2017,SC TO-T/A,341
2017,SC14D9C,95
2017,SC14D9F,1
2017,SD,1158
2017,SD/A,4
2017,SDR/A,2
2017,SE,17
2017,SF-3,5
2017,SF-3/A,13
2017,SP 15D2,2
2017,STOP ORDER,15
2017,SUPPL,62
2017,T-3,15
2017,T-3/A,24
2017,TA-1,8
2017,TA-1/A,179
2017,TA-2,286
2017,TA-2/A,41
2017,TA-W,21
2017,UPLOAD,7001
2017,X-17A-5,3847
2017,X-17A-5/A,192
2016,1,1
2016,1-A,145
2016,1-A POS,84
2016,1-A-W,31
2016,1-A-W/A,8
2016,1-A/A,347
2016,1-E AD,2
2016,1-E/A,2
2016,1-K,13
2016,1-K/A,1
2016,1-SA,34
2016,1-SA/A,3
2016,1-U,80
2016,1-U/A,1
2016,1-Z,9
2016,1-Z/A,2
2016,1/A,181
2016,10-12B,33
2016,10-12B/A,151
2016,10-12G,87
2016,10-12G/A,129
2016,10-D,6231
2016,10-D/A,71
2016,10-K,7259
2016,10-K/A,1129
2016,10-KT,36
2016,10-KT/A,5
2016,10-Q,20084
2016,10-Q/A,860
2016,10-QT,6
2016,10-QT/A,1
2016,11-K,1308
2016,11-K/A,19
2016,11-KT,1
2016,13F-HR,17034
2016,13F-HR/A,1022
2016,13F-NT,6010
2016,13F-NT/A,41
2016,13FCONP,1
2016,144,249
2016,144/A,4
2016,15-12B,276
2016,15-12B/A,4
2016,15-12G,290
2016,15-12G/A,9
2016,15-15D,257
2016,15-15D/A,1
2016,15F-12B,12
2016,15F-12G,8
2016,15F-12G/A,1
2016,15F-15D,10
2016,18-K,34
2016,18-K/A,133
2016,19B-4E,1859
2016,20-F,677
2016,20-F/A,73
2016,20FR12B,3
2016,20FR12B/A,11
2016,20FR12G,2
2016,20FR12G/A,3
2016,24F-2NT,7441
2016,24F-2NT/A,211
2016,25,97
2016,25-NSE,797
2016,25-NSE/A,10
2016,253G1,1
2016,253G2,111
2016,253G3,1
2016,3,13749
2016,3/A,693
2016,305B2,83
2016,4,182192
2016,4/A,4389
2016,40-17F1,42
2016,40-17F1/A,15
2016,40-17F2,716
2016,40-17G,1023
2016,40-17G/A,123
2016,40-17GCS,2
2016,40-202A,2
2016,40-202A/A,2
2016,40-206A,8
2016,40-206A/A,2
2016,40-24B2,90
2016,40-24B2/A,1
2016,40-33,40
2016,40-33/A,1
2016,40-6B,3
2016,40-6B/A,2
2016,40-8B25,8
2016,40-APP,131
2016,40-APP/A,235
2016,40-F,125
2016,40-F/A,11
2016,40-OIP,2
2016,40-OIP/A,15
2016,40FR12B,2
2016,40FR12G,1
2016,424A,3
2016,424B1,35
2016,424B2,18439
2016,424B3,5769
2016,424B4,271
2016,424B5,2249
2016,424B7,198
2016,424B8,123
2016,424H,174
2016,424H/A,7
2016,425,3788
2016,485APOS,1315
2016,485BPOS,8481
2016,485BXT,2279
2016,486APOS,4
2016,486BPOS,46
2016,487,1174
2016,497,15808
2016,497AD,161
2016,497J,5394
2016,497K,21689
2016,5,3226
2016,5/A,73
2016,6-K,20733
2016,6-K/A,265
2016,6B NTC,2
2016,6B ORDR,1
2016,8-A12B,731
2016,8-A12B/A,91
2016,8-A12G,110
2016,8-A12G/A,12
2016,8-K,70483
2016,8-K/A,1851
2016,8-K12B,22
2016,8-K12B/A,2
2016,8-K12G3,11
2016,8-K12G3/A,1
2016,8-M,2
2016,8F-2 NTC,1
2016,8F-2 ORDR,1
2016,9-M,1
2016,ABS-15G,1410
2016,ABS-15G/A,385
2016,ABS-EE,6
2016,ABS-EE/A,3
2016,ADV-H-T,6
2016,ADV-NR,43
2016,ANNLRPT,4
2016,APP NTC,110
2016,APP ORDR,100
2016,APP WD,32
