,link,size,accession_number,filing_date,year,cik,conformed_name,n_documents_in_filing,documents_in_filing_names
277,https://www.sec.gov/Archives/edgar/data/1521036/000119312517189384/0001193125-17-189384-index.htm,31 KB,0001193125-17-189384,2017-05-31,2017,0001521036,"Lantheus Holdings, Inc.",3,"['SD', 'EX-1.01', 'Complete submission text file']"
281,https://www.sec.gov/Archives/edgar/data/6845/000119312517186634/0001193125-17-186634-index.htm,48 KB,0001193125-17-186634,2017-05-30,2017,0000006845,"APOGEE ENTERPRISES, INC.",3,"['SD', 'EX-1.01', 'Complete submission text file']"
289,https://www.sec.gov/Archives/edgar/data/1383395/000138339517000011/0001383395-17-000011-index.htm,286 KB,0001383395-17-000011,2017-05-19,2017,0001383395,SEQUANS COMMUNICATIONS,3,"['SD- CONFLICT MINERAL REPORTING', 'EXHIBIT 1.01- CONFLICT MINERAL REPORTING', 'Complete submission text file']"
295,https://www.sec.gov/Archives/edgar/data/883902/000088390217000024/0000883902-17-000024-index.htm,331 KB,0000883902-17-000024,2017-05-31,2017,0000883902,"Cornerstone Building Brands, Inc.",3,"['SD', '', 'Complete submission text file']"
302,https://www.sec.gov/Archives/edgar/data/784199/000113379617000072/0001133796-17-000072-index.htm,57 KB,0001133796-17-000072,2017-05-26,2017,0000784199,CRYOLIFE INC,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
308,https://www.sec.gov/Archives/edgar/data/1122976/000119312517188519/0001193125-17-188519-index.htm,45 KB,0001193125-17-188519,2017-05-31,2017,0001122976,POLYONE CORP,3,"['SD', 'EX-1.01', 'Complete submission text file']"
316,https://www.sec.gov/Archives/edgar/data/21510/000110465917036558/0001104659-17-036558-index.htm,503 KB,0001104659-17-036558,2017-05-31,2017,0000021510,COHERENT INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
322,https://www.sec.gov/Archives/edgar/data/806172/000117152017000266/0001171520-17-000266-index.htm,23 KB,0001171520-17-000266,2017-05-31,2017,0000806172,SONO TEK CORP,3,"['', '', 'Complete submission text file']"
336,https://www.sec.gov/Archives/edgar/data/746838/000074683817000032/0000746838-17-000032-index.htm,416 KB,0000746838-17-000032,2017-05-30,2017,0000746838,UNISYS CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
342,https://www.sec.gov/Archives/edgar/data/829224/000082922417000024/0000829224-17-000024-index.htm,1 MB,0000829224-17-000024,2017-05-31,2017,0000829224,STARBUCKS CORP,4,"['SD', 'EXHIBIT 1.01', '', 'Complete submission text file']"
350,https://www.sec.gov/Archives/edgar/data/1043337/000114420417030153/0001144204-17-030153-index.htm,173 KB,0001144204-17-030153,2017-05-30,2017,0001043337,STONERIDGE INC,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
356,https://www.sec.gov/Archives/edgar/data/1142596/000156459017011848/0001564590-17-011848-index.htm,96 KB,0001564590-17-011848,2017-05-30,2017,0001142596,NUVASIVE INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
366,https://www.sec.gov/Archives/edgar/data/97745/000009774517000029/0000097745-17-000029-index.htm,74 KB,0000097745-17-000029,2017-05-31,2017,0000097745,THERMO FISHER SCIENTIFIC INC.,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
373,https://www.sec.gov/Archives/edgar/data/80420/000008042017000011/0000080420-17-000011-index.htm,447 KB,0000080420-17-000011,2017-05-31,2017,0000080420,POWELL INDUSTRIES INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
379,https://www.sec.gov/Archives/edgar/data/61004/000156459017011880/0001564590-17-011880-index.htm,45 KB,0001564590-17-011880,2017-05-31,2017,0000061004,LGL GROUP INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
385,https://www.sec.gov/Archives/edgar/data/1489096/000148909617000036/0001489096-17-000036-index.htm,37 KB,0001489096-17-000036,2017-06-01,2017,0001489096,"Thermon Group Holdings, Inc.",3,"['FORM SD 2016', 'EXHIBIT 1.01 CONFLICT MINERALS REPORT', 'Complete submission text file']"
391,https://www.sec.gov/Archives/edgar/data/814453/000081445317000063/0000814453-17-000063-index.htm,72 KB,0000814453-17-000063,2017-05-25,2017,0000814453,NEWELL BRANDS INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
397,https://www.sec.gov/Archives/edgar/data/832988/000162828017006084/0001628280-17-006084-index.htm,140 KB,0001628280-17-006084,2017-05-31,2017,0000832988,SIGNET JEWELERS LTD,6,"['SD', 'EXHIBIT 1.01', '', '', '', 'Complete submission text file']"
402,https://www.sec.gov/Archives/edgar/data/310568/000031056817000108/0000310568-17-000108-index.htm,49 KB,0000310568-17-000108,2017-05-31,2017,0000310568,MICROSEMI CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
411,https://www.sec.gov/Archives/edgar/data/1424929/000142492917000032/0001424929-17-000032-index.htm,76 KB,0001424929-17-000032,2017-05-18,2017,0001424929,FOX FACTORY HOLDING CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
418,https://www.sec.gov/Archives/edgar/data/7431/000156459017011951/0001564590-17-011951-index.htm,55 KB,0001564590-17-011951,2017-05-31,2017,0000007431,ARMSTRONG WORLD INDUSTRIES INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
424,https://www.sec.gov/Archives/edgar/data/313616/000119312517186381/0001193125-17-186381-index.htm,38 KB,0001193125-17-186381,2017-05-30,2017,0000313616,DANAHER CORP /DE/,3,"['SD', 'EX-1.01', 'Complete submission text file']"
436,https://www.sec.gov/Archives/edgar/data/724910/000072491017000017/0000724910-17-000017-index.htm,25 KB,0000724910-17-000017,2017-05-26,2017,0000724910,NVE CORP /NEW/,5,"['FORM SD FOR THE REPORTING PERIOD FROM JANUARY 1 TO DECEMBER 31, 2016', 'CONFLICT MINERALS REPORT', 'NVE LOGO', 'NVE LOGO', 'Complete submission text file']"
440,https://www.sec.gov/Archives/edgar/data/1275283/000119312517187910/0001193125-17-187910-index.htm,38 KB,0001193125-17-187910,2017-05-31,2017,0001275283,REYNOLDS AMERICAN INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
447,https://www.sec.gov/Archives/edgar/data/1323885/000132388517000038/0001323885-17-000038-index.htm,546 KB,0001323885-17-000038,2017-05-25,2017,0001323885,"AtriCure, Inc.",3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
459,https://www.sec.gov/Archives/edgar/data/39368/000143774917010386/0001437749-17-010386-index.htm,511 KB,0001437749-17-010386,2017-05-31,2017,0000039368,FULLER H B CO,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
465,https://www.sec.gov/Archives/edgar/data/1567892/000156789217000022/0001567892-17-000022-index.htm,244 KB,0001567892-17-000022,2017-05-31,2017,0001567892,Mallinckrodt plc,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
470,https://www.sec.gov/Archives/edgar/data/1312073/000131207317000024/0001312073-17-000024-index.htm,429 KB,0001312073-17-000024,2017-05-31,2017,0001312073,"VERIFONE SYSTEMS, INC.",3,"['2016 FORM SD', 'EXHIBIT 1.01 TO 2016 FORM SD', 'Complete submission text file']"
482,https://www.sec.gov/Archives/edgar/data/67716/000006771617000052/0000067716-17-000052-index.htm,648 KB,0000067716-17-000052,2017-05-25,2017,0000067716,MDU RESOURCES GROUP INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
488,https://www.sec.gov/Archives/edgar/data/54381/000005438117000025/0000054381-17-000025-index.htm,68 KB,0000054381-17-000025,2017-05-26,2017,0000054381,KAMAN Corp,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
494,https://www.sec.gov/Archives/edgar/data/1037962/000119312517188579/0001193125-17-188579-index.htm,235 KB,0001193125-17-188579,2017-05-31,2017,0001037962,CGG,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
500,https://www.sec.gov/Archives/edgar/data/723125/000072312517000065/0000723125-17-000065-index.htm,214 KB,0000723125-17-000065,2017-05-26,2017,0000723125,MICRON TECHNOLOGY INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
506,https://www.sec.gov/Archives/edgar/data/1637655/000163765517000035/0001637655-17-000035-index.htm,78 KB,0001637655-17-000035,2017-05-31,2017,0001637655,Horizon Global Corp,3,"['SD CONFLICT MINERALS', 'EXHIBIT 1.01', 'Complete submission text file']"
510,https://www.sec.gov/Archives/edgar/data/1260221/000126022117000038/0001260221-17-000038-index.htm,44 KB,0001260221-17-000038,2017-05-30,2017,0001260221,TransDigm Group INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
516,https://www.sec.gov/Archives/edgar/data/1439288/000143928817000080/0001439288-17-000080-index.htm,492 KB,0001439288-17-000080,2017-05-31,2017,0001439288,Rexnord Corp,3,"['CONFLICT MINERALS SD', 'EXHIBIT 1.01', 'Complete submission text file']"
523,https://www.sec.gov/Archives/edgar/data/68709/000006870917000038/0000068709-17-000038-index.htm,61 KB,0000068709-17-000038,2017-05-18,2017,0000068709,MTS SYSTEMS CORP,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
529,https://www.sec.gov/Archives/edgar/data/836157/000156276217000083/0001562762-17-000083-index.htm,227 KB,0001562762-17-000083,2017-05-31,2017,0000836157,LINDSAY CORP,3,"['', '', 'Complete submission text file']"
535,https://www.sec.gov/Archives/edgar/data/1519751/000119312517189359/0001193125-17-189359-index.htm,181 KB,0001193125-17-189359,2017-05-31,2017,0001519751,"Fortune Brands Home & Security, Inc.",3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
545,https://www.sec.gov/Archives/edgar/data/906709/000119312517170803/0001193125-17-170803-index.htm,22 KB,0001193125-17-170803,2017-05-15,2017,0000906709,NEKTAR THERAPEUTICS,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
548,https://www.sec.gov/Archives/edgar/data/1108967/000114420417029424/0001144204-17-029424-index.htm,297 KB,0001144204-17-029424,2017-05-25,2017,0001108967,"CUI Global, Inc.",3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
554,https://www.sec.gov/Archives/edgar/data/827187/000082718717000027/0000827187-17-000027-index.htm,562 KB,0000827187-17-000027,2017-05-24,2017,0000827187,Sleep Number Corp,4,"['SD', 'EXHIBIT 1.01', '', 'Complete submission text file']"
560,https://www.sec.gov/Archives/edgar/data/76321/000007632117000030/0000076321-17-000030-index.htm,201 KB,0000076321-17-000030,2017-05-31,2017,0000076321,PARKER DRILLING CO /DE/,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
573,https://www.sec.gov/Archives/edgar/data/310764/000031076417000119/0000310764-17-000119-index.htm,1 MB,0000310764-17-000119,2017-05-31,2017,0000310764,STRYKER CORP,4,"['SYKCONFLICTMINERALS53117', 'SYKCONFLICTMINERALEX101', '', 'Complete submission text file']"
583,https://www.sec.gov/Archives/edgar/data/102729/000090044017000064/0000900440-17-000064-index.htm,271 KB,0000900440-17-000064,2017-05-26,2017,0000102729,VALMONT INDUSTRIES INC,3,"['', '', 'Complete submission text file']"
595,https://www.sec.gov/Archives/edgar/data/889348/000138713117003085/0001387131-17-003085-index.htm,38 KB,0001387131-17-003085,2017-05-31,2017,0000889348,CPI AEROSTRUCTURES INC,3,"['SPECIALIZED DISCLOSURE REPORT', 'CONFLICT MATERIAL REPORT', 'Complete submission text file']"
601,https://www.sec.gov/Archives/edgar/data/795403/000110465917036530/0001104659-17-036530-index.htm,685 KB,0001104659-17-036530,2017-05-31,2017,0000795403,WATTS WATER TECHNOLOGIES INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
607,https://www.sec.gov/Archives/edgar/data/1604778/000160477817000041/0001604778-17-000041-index.htm,606 KB,0001604778-17-000041,2017-05-31,2017,0001604778,"Qorvo, Inc.",6,"['SD', 'EXHIBIT 1.01', '', '', '', 'Complete submission text file']"
612,https://www.sec.gov/Archives/edgar/data/313927/000119312517188921/0001193125-17-188921-index.htm,128 KB,0001193125-17-188921,2017-05-31,2017,0000313927,CHURCH & DWIGHT CO INC /DE/,4,"['SD', 'EX-1.01', 'GRAPHIC', 'Complete submission text file']"
618,https://www.sec.gov/Archives/edgar/data/95029/000117494717000940/0001174947-17-000940-index.htm,26 KB,0001174947-17-000940,2017-05-26,2017,0000095029,STURM RUGER & CO INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
633,https://www.sec.gov/Archives/edgar/data/933034/000114036117021364/0001140361-17-021364-index.htm,96 KB,0001140361-17-021364,2017-05-18,2017,0000933034,STRATTEC SECURITY CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
639,https://www.sec.gov/Archives/edgar/data/1070235/000107023517000016/0001070235-17-000016-index.htm,650 KB,0001070235-17-000016,2017-05-31,2017,0001070235,BLACKBERRY Ltd,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
651,https://www.sec.gov/Archives/edgar/data/87347/000119312517179029/0001193125-17-179029-index.htm,279 KB,0001193125-17-179029,2017-05-23,2017,0000087347,SCHLUMBERGER LIMITED/NV,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
657,https://www.sec.gov/Archives/edgar/data/875355/000165495417005098/0001654954-17-005098-index.htm,59 KB,0001654954-17-005098,2017-05-25,2017,0000875355,INSIGNIA SYSTEMS INC/MN,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
663,https://www.sec.gov/Archives/edgar/data/10456/000119312517189232/0001193125-17-189232-index.htm,233 KB,0001193125-17-189232,2017-05-31,2017,0000010456,BAXTER INTERNATIONAL INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
669,https://www.sec.gov/Archives/edgar/data/70866/000007086617000038/0000070866-17-000038-index.htm,35 KB,0000070866-17-000038,2017-05-31,2017,0000070866,NCR CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
681,https://www.sec.gov/Archives/edgar/data/1078271/000119312517189675/0001193125-17-189675-index.htm,193 KB,0001193125-17-189675,2017-06-01,2017,0001078271,EXTREME NETWORKS INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
690,https://www.sec.gov/Archives/edgar/data/1140859/000114085917000022/0001140859-17-000022-index.htm,57 KB,0001140859-17-000022,2017-05-31,2017,0001140859,AMERISOURCEBERGEN CORP,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
696,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000088/0001018724-17-000088-index.htm,355 KB,0001018724-17-000088,2017-05-31,2017,0001018724,AMAZON COM INC,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
709,https://www.sec.gov/Archives/edgar/data/1641991/000164199117000032/0001641991-17-000032-index.htm,1 MB,0001641991-17-000032,2017-05-24,2017,0001641991,"SPX FLOW, Inc.",3,"['2016 FORM SD - CONFLICT MINERALS', 'EX 1.01 - 2016 CONFLICT MINERALS REPORT', 'Complete submission text file']"
713,https://www.sec.gov/Archives/edgar/data/896622/000110465917036509/0001104659-17-036509-index.htm,68 KB,0001104659-17-036509,2017-05-31,2017,0000896622,APTARGROUP INC,4,"['SD', 'EX-1.01', 'GRAPHIC', 'Complete submission text file']"
719,https://www.sec.gov/Archives/edgar/data/1136869/000119312517188251/0001193125-17-188251-index.htm,49 KB,0001193125-17-188251,2017-05-31,2017,0001136869,"ZIMMER BIOMET HOLDINGS, INC.",3,"['SD', 'EX-1.01', 'Complete submission text file']"
725,https://www.sec.gov/Archives/edgar/data/93556/000009355617000014/0000093556-17-000014-index.htm,447 KB,0000093556-17-000014,2017-05-26,2017,0000093556,"STANLEY BLACK & DECKER, INC.",4,"['SD', 'EXHIBIT 1.01 & 1.02 CONFLICT MINERALS REPORT', '', 'Complete submission text file']"
729,https://www.sec.gov/Archives/edgar/data/926423/000119312517189311/0001193125-17-189311-index.htm,23 KB,0001193125-17-189311,2017-05-31,2017,0000926423,MITCHAM INDUSTRIES INC,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
735,https://www.sec.gov/Archives/edgar/data/1275014/000095010317005191/0000950103-17-005191-index.htm,42 KB,0000950103-17-005191,2017-05-31,2017,0001275014,"Ultra Clean Holdings, Inc.",3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
741,https://www.sec.gov/Archives/edgar/data/715153/000119312517186215/0001193125-17-186215-index.htm,120 KB,0001193125-17-186215,2017-05-30,2017,0000715153,HONDA MOTOR CO LTD,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
747,https://www.sec.gov/Archives/edgar/data/1390844/000119312517189446/0001193125-17-189446-index.htm,42 KB,0001193125-17-189446,2017-05-31,2017,0001390844,WABCO Holdings Inc.,3,"['SD', 'EX-1.01', 'Complete submission text file']"
753,https://www.sec.gov/Archives/edgar/data/1325702/000119312517189363/0001193125-17-189363-index.htm,141 KB,0001193125-17-189363,2017-05-31,2017,0001325702,MAGNACHIP SEMICONDUCTOR Corp,3,"['SD', 'EX-1.01', 'Complete submission text file']"
772,https://www.sec.gov/Archives/edgar/data/1091907/000089843217000578/0000898432-17-000578-index.htm,21 KB,0000898432-17-000578,2017-05-16,2017,0001091907,WORLD WRESTLING ENTERTAINMENTINC,3,"['', '', 'Complete submission text file']"
780,https://www.sec.gov/Archives/edgar/data/1336920/000133692017000034/0001336920-17-000034-index.htm,41 KB,0001336920-17-000034,2017-05-25,2017,0001336920,"Leidos Holdings, Inc.",3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
789,https://www.sec.gov/Archives/edgar/data/1068148/000106814817000016/0001068148-17-000016-index.htm,60 KB,0001068148-17-000016,2017-05-19,2017,0001068148,PARK OHIO INDUSTRIES INC/OH,3,"['SD', 'EX-1.02', 'Complete submission text file']"
795,https://www.sec.gov/Archives/edgar/data/38725/000003872517000135/0000038725-17-000135-index.htm,24 KB,0000038725-17-000135,2017-05-31,2017,0000038725,FRANKLIN ELECTRIC CO INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
800,https://www.sec.gov/Archives/edgar/data/1481792/000148179217000016/0001481792-17-000016-index.htm,627 KB,0001481792-17-000016,2017-05-26,2017,0001481792,"Quad/Graphics, Inc.",4,"['FORM SD', 'EXHIBIT 1.01', 'QUAD/GRAPHICS LOGO', 'Complete submission text file']"
805,https://www.sec.gov/Archives/edgar/data/92679/000119312517180831/0001193125-17-180831-index.htm,222 KB,0001193125-17-180831,2017-05-24,2017,0000092679,SPARTON CORP,3,"['SD', 'EX-1.01', 'Complete submission text file']"
811,https://www.sec.gov/Archives/edgar/data/704532/000156459017011601/0001564590-17-011601-index.htm,69 KB,0001564590-17-011601,2017-05-24,2017,0000704532,NANOMETRICS INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
817,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000028/0001326801-17-000028-index.htm,78 KB,0001326801-17-000028,2017-05-26,2017,0001326801,Facebook Inc,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
820,https://www.sec.gov/Archives/edgar/data/1632790/000163279017000042/0001632790-17-000042-index.htm,422 KB,0001632790-17-000042,2017-05-31,2017,0001632790,"ENERGIZER HOLDINGS, INC.",4,"['FORM SD FOR PERIOD ENDING 12-31-16', 'EXHIBIT 1.01', '', 'Complete submission text file']"
