,link,size,filing_date,year,cik,conformed_name
503,https://www.sec.gov/Archives/edgar/data/723125/000072312514000106/0000723125-14-000106-index.htm,290 KB,2014-05-30,2014,0000723125,MICRON TECHNOLOGY INC
513,https://www.sec.gov/Archives/edgar/data/1260221/000119312514218876/0001193125-14-218876-index.htm,25 KB,2014-05-30,2014,0001260221,TransDigm Group INC
519,https://www.sec.gov/Archives/edgar/data/1439288/000143928814000047/0001439288-14-000047-index.htm,43 KB,2014-06-02,2014,0001439288,Rexnord Corp
526,https://www.sec.gov/Archives/edgar/data/68709/000089710114000777/0000897101-14-000777-index.htm,24 KB,2014-06-02,2014,0000068709,MTS SYSTEMS CORP
532,https://www.sec.gov/Archives/edgar/data/836157/000119312514221530/0001193125-14-221530-index.htm,34 KB,2014-06-02,2014,0000836157,LINDSAY CORP
538,https://www.sec.gov/Archives/edgar/data/1519751/000119312514222229/0001193125-14-222229-index.htm,85 KB,2014-06-02,2014,0001519751,"Fortune Brands Home & Security, Inc."
544,https://www.sec.gov/Archives/edgar/data/49938/000119312514216900/0001193125-14-216900-index.htm,11 KB,2014-05-29,2014,0000049938,IMPERIAL OIL LTD
551,https://www.sec.gov/Archives/edgar/data/1108967/000114420414034153/0001144204-14-034153-index.htm,69 KB,2014-05-29,2014,0001108967,"CUI Global, Inc."
557,https://www.sec.gov/Archives/edgar/data/827187/000082718714000044/0000827187-14-000044-index.htm,97 KB,2014-06-02,2014,0000827187,Sleep Number Corp
563,https://www.sec.gov/Archives/edgar/data/76321/000114420414034168/0001144204-14-034168-index.htm,26 KB,2014-05-29,2014,0000076321,PARKER DRILLING CO /DE/
570,https://www.sec.gov/Archives/edgar/data/945114/000094511414000027/0000945114-14-000027-index.htm,14 KB,2014-05-30,2014,0000945114,SYSTEMAX INC
577,https://www.sec.gov/Archives/edgar/data/310764/000031076414000106/0000310764-14-000106-index.htm,162 KB,2014-06-02,2014,0000310764,STRYKER CORP
580,https://www.sec.gov/Archives/edgar/data/785787/000119312514221225/0001193125-14-221225-index.htm,29 KB,2014-06-02,2014,0000785787,AEP INDUSTRIES INC
586,https://www.sec.gov/Archives/edgar/data/102729/000110465914043383/0001104659-14-043383-index.htm,24 KB,2014-06-02,2014,0000102729,VALMONT INDUSTRIES INC
592,https://www.sec.gov/Archives/edgar/data/47111/000004711114000020/0000047111-14-000020-index.htm,18 KB,2014-06-02,2014,0000047111,HERSHEY CO
598,https://www.sec.gov/Archives/edgar/data/889348/000114420414034850/0001144204-14-034850-index.htm,36 KB,2014-06-02,2014,0000889348,CPI AEROSTRUCTURES INC
604,https://www.sec.gov/Archives/edgar/data/795403/000110465914042609/0001104659-14-042609-index.htm,60 KB,2014-05-30,2014,0000795403,WATTS WATER TECHNOLOGIES INC
615,https://www.sec.gov/Archives/edgar/data/313927/000119312514222042/0001193125-14-222042-index.htm,27 KB,2014-06-02,2014,0000313927,CHURCH & DWIGHT CO INC /DE/
621,https://www.sec.gov/Archives/edgar/data/95029/000117494714000269/0001174947-14-000269-index.htm,22 KB,2014-05-30,2014,0000095029,STURM RUGER & CO INC
627,https://www.sec.gov/Archives/edgar/data/706688/000070668814000029/0000706688-14-000029-index.htm,33 KB,2014-05-28,2014,0000706688,AARON'S INC
636,https://www.sec.gov/Archives/edgar/data/933034/000114036114023921/0001140361-14-023921-index.htm,62 KB,2014-06-02,2014,0000933034,STRATTEC SECURITY CORP
642,https://www.sec.gov/Archives/edgar/data/1070235/000107023514000068/0001070235-14-000068-index.htm,296 KB,2014-06-02,2014,0001070235,BLACKBERRY Ltd
648,https://www.sec.gov/Archives/edgar/data/884217/000110465914043305/0001104659-14-043305-index.htm,24 KB,2014-06-02,2014,0000884217,TAILORED BRANDS INC
654,https://www.sec.gov/Archives/edgar/data/87347/000119312514221341/0001193125-14-221341-index.htm,35 KB,2014-06-02,2014,0000087347,SCHLUMBERGER LIMITED/NV
660,https://www.sec.gov/Archives/edgar/data/875355/000110465914042226/0001104659-14-042226-index.htm,36 KB,2014-05-29,2014,0000875355,INSIGNIA SYSTEMS INC/MN
666,https://www.sec.gov/Archives/edgar/data/10456/000119312514220892/0001193125-14-220892-index.htm,106 KB,2014-06-02,2014,0000010456,BAXTER INTERNATIONAL INC
672,https://www.sec.gov/Archives/edgar/data/70866/000095015714000546/0000950157-14-000546-index.htm,43 KB,2014-06-02,2014,0000070866,NCR CORP
678,https://www.sec.gov/Archives/edgar/data/1026980/000129281414001396/0001292814-14-001396-index.htm,252 KB,2014-05-30,2014,0001026980,ASIA PACIFIC WIRE & CABLE CORP LTD
684,https://www.sec.gov/Archives/edgar/data/1078271/000107827114000038/0001078271-14-000038-index.htm,65 KB,2014-05-29,2014,0001078271,EXTREME NETWORKS INC
693,https://www.sec.gov/Archives/edgar/data/1140859/000110465914048955/0001104659-14-048955-index.htm,51 KB,2014-06-27,2014,0001140859,AMERISOURCEBERGEN CORP
699,https://www.sec.gov/Archives/edgar/data/1018724/000101872414000018/0001018724-14-000018-index.htm,31 KB,2014-06-02,2014,0001018724,AMAZON COM INC
706,https://www.sec.gov/Archives/edgar/data/22444/000119312514221953/0001193125-14-221953-index.htm,16 KB,2014-06-02,2014,0000022444,COMMERCIAL METALS Co
716,https://www.sec.gov/Archives/edgar/data/896622/000110465914042798/0001104659-14-042798-index.htm,70 KB,2014-05-30,2014,0000896622,APTARGROUP INC
722,https://www.sec.gov/Archives/edgar/data/1136869/000119312514221560/0001193125-14-221560-index.htm,40 KB,2014-06-02,2014,0001136869,"ZIMMER BIOMET HOLDINGS, INC."
728,https://www.sec.gov/Archives/edgar/data/93556/000009355614000011/0000093556-14-000011-index.htm,102 KB,2014-06-02,2014,0000093556,"STANLEY BLACK & DECKER, INC."
732,https://www.sec.gov/Archives/edgar/data/926423/000119312514280535/0001193125-14-280535-index.htm,25 KB,2014-07-25,2014,0000926423,MITCHAM INDUSTRIES INC
738,https://www.sec.gov/Archives/edgar/data/1275014/000095010314003826/0000950103-14-003826-index.htm,53 KB,2014-06-02,2014,0001275014,"Ultra Clean Holdings, Inc."
744,https://www.sec.gov/Archives/edgar/data/715153/000119312514220820/0001193125-14-220820-index.htm,42 KB,2014-06-02,2014,0000715153,HONDA MOTOR CO LTD
750,https://www.sec.gov/Archives/edgar/data/1390844/000091476014000033/0000914760-14-000033-index.htm,54 KB,2014-06-02,2014,0001390844,WABCO Holdings Inc.
756,https://www.sec.gov/Archives/edgar/data/1325702/000119312514220836/0001193125-14-220836-index.htm,41 KB,2014-06-02,2014,0001325702,MAGNACHIP SEMICONDUCTOR Corp
762,https://www.sec.gov/Archives/edgar/data/1324948/000114420414034683/0001144204-14-034683-index.htm,20 KB,2014-05-30,2014,0001324948,RBC Bearings INC
767,https://www.sec.gov/Archives/edgar/data/1050140/000092963814000512/0000929638-14-000512-index.htm,26 KB,2014-05-30,2014,0001050140,DESCARTES SYSTEMS GROUP INC
775,https://www.sec.gov/Archives/edgar/data/1091907/000089843214000835/0000898432-14-000835-index.htm,26 KB,2014-06-02,2014,0001091907,WORLD WRESTLING ENTERTAINMENTINC
783,https://www.sec.gov/Archives/edgar/data/1336920/000119312514221917/0001193125-14-221917-index.htm,30 KB,2014-06-02,2014,0001336920,"Leidos Holdings, Inc."
792,https://www.sec.gov/Archives/edgar/data/1068148/000119312514222604/0001193125-14-222604-index.htm,34 KB,2014-06-02,2014,0001068148,PARK OHIO INDUSTRIES INC/OH
798,https://www.sec.gov/Archives/edgar/data/38725/000003872514000141/0000038725-14-000141-index.htm,24 KB,2014-06-02,2014,0000038725,FRANKLIN ELECTRIC CO INC
803,https://www.sec.gov/Archives/edgar/data/1481792/000148179214000025/0001481792-14-000025-index.htm,43 KB,2014-06-02,2014,0001481792,"Quad/Graphics, Inc."
808,https://www.sec.gov/Archives/edgar/data/92679/000119312514219834/0001193125-14-219834-index.htm,27 KB,2014-05-30,2014,0000092679,SPARTON CORP
814,https://www.sec.gov/Archives/edgar/data/704532/000119312514294405/0001193125-14-294405-index.htm,37 KB,2014-08-05,2014,0000704532,NANOMETRICS INC
827,https://www.sec.gov/Archives/edgar/data/1299130/000129913014000038/0001299130-14-000038-index.htm,49 KB,2014-05-30,2014,0001299130,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC."
833,https://www.sec.gov/Archives/edgar/data/1408710/000119312514220425/0001193125-14-220425-index.htm,85 KB,2014-06-02,2014,0001408710,Fabrinet
839,https://www.sec.gov/Archives/edgar/data/729580/000114036114023977/0001140361-14-023977-index.htm,118 KB,2014-06-02,2014,0000729580,BEL FUSE INC /NJ
844,https://www.sec.gov/Archives/edgar/data/1175609/000119312514218155/0001193125-14-218155-index.htm,27 KB,2014-05-30,2014,0001175609,"CAVIUM, INC."
850,https://www.sec.gov/Archives/edgar/data/1035267/000103526714000062/0001035267-14-000062-index.htm,116 KB,2014-06-02,2014,0001035267,INTUITIVE SURGICAL INC
856,https://www.sec.gov/Archives/edgar/data/1262039/000119312514220178/0001193125-14-220178-index.htm,62 KB,2014-05-30,2014,0001262039,"Fortinet, Inc."
862,https://www.sec.gov/Archives/edgar/data/1498301/000157104914002154/0001571049-14-002154-index.htm,56 KB,2014-05-29,2014,0001498301,"Ascena Retail Group, Inc."
868,https://www.sec.gov/Archives/edgar/data/1086434/000114420414034860/0001144204-14-034860-index.htm,43 KB,2014-06-02,2014,0001086434,AUDIOCODES LTD
874,https://www.sec.gov/Archives/edgar/data/1345126/000119312514219420/0001193125-14-219420-index.htm,50 KB,2014-05-30,2014,0001345126,Compass Diversified Holdings
882,https://www.sec.gov/Archives/edgar/data/1145460/000119312514222543/0001193125-14-222543-index.htm,41 KB,2014-06-02,2014,0001145460,ALERE INC.
885,https://www.sec.gov/Archives/edgar/data/1515003/000151500314000026/0001515003-14-000026-index.htm,55 KB,2014-06-02,2014,0001515003,CPI International Holding Corp.
891,https://www.sec.gov/Archives/edgar/data/6176/000119312514218993/0001193125-14-218993-index.htm,24 KB,2014-05-30,2014,0000006176,AMPCO PITTSBURGH CORP
897,https://www.sec.gov/Archives/edgar/data/854775/000119312514222018/0001193125-14-222018-index.htm,85 KB,2014-06-02,2014,0000854775,DIGI INTERNATIONAL INC
900,https://www.sec.gov/Archives/edgar/data/946486/000114036114024171/0001140361-14-024171-index.htm,28 KB,2014-06-02,2014,0000946486,WINDTREE THERAPEUTICS INC /DE/
906,https://www.sec.gov/Archives/edgar/data/1567094/000119312514222273/0001193125-14-222273-index.htm,36 KB,2014-06-02,2014,0001567094,CNH Industrial N.V.
915,https://www.sec.gov/Archives/edgar/data/858877/000119312514219961/0001193125-14-219961-index.htm,53 KB,2014-05-30,2014,0000858877,"CISCO SYSTEMS, INC."
921,https://www.sec.gov/Archives/edgar/data/1047127/000104712714000031/0001047127-14-000031-index.htm,94 KB,2014-06-02,2014,0001047127,"AMKOR TECHNOLOGY, INC."
926,https://www.sec.gov/Archives/edgar/data/880432/000114420414034842/0001144204-14-034842-index.htm,24 KB,2014-06-02,2014,0000880432,MISONIX INC
932,https://www.sec.gov/Archives/edgar/data/110471/000110465914043182/0001104659-14-043182-index.htm,32 KB,2014-06-02,2014,0000110471,WOLVERINE WORLD WIDE INC /DE/
938,https://www.sec.gov/Archives/edgar/data/2488/000119312514222285/0001193125-14-222285-index.htm,111 KB,2014-06-02,2014,0000002488,ADVANCED MICRO DEVICES INC
944,https://www.sec.gov/Archives/edgar/data/1302028/000119312514219868/0001193125-14-219868-index.htm,57 KB,2014-05-30,2014,0001302028,"Manitex International, Inc."
949,https://www.sec.gov/Archives/edgar/data/104897/000143774914011241/0001437749-14-011241-index.htm,34 KB,2014-06-16,2014,0000104897,"WSI INDUSTRIES, INC."
955,https://www.sec.gov/Archives/edgar/data/91440/000119312514219886/0001193125-14-219886-index.htm,45 KB,2014-05-30,2014,0000091440,SNAP-ON Inc
961,https://www.sec.gov/Archives/edgar/data/898293/000119312514222427/0001193125-14-222427-index.htm,69 KB,2014-06-02,2014,0000898293,JABIL INC
966,https://www.sec.gov/Archives/edgar/data/1487730/000148773014000041/0001487730-14-000041-index.htm,108 KB,2014-06-02,2014,0001487730,"Spectrum Brands Legacy, Inc."
968,https://www.sec.gov/Archives/edgar/data/1566011/000153450414000044/0001534504-14-000044-index.htm,27 KB,2014-06-02,2014,0001566011,PBF Holding Co LLC
972,https://www.sec.gov/Archives/edgar/data/878079/000110465914043361/0001104659-14-043361-index.htm,39 KB,2014-06-02,2014,0000878079,BON TON STORES INC
978,https://www.sec.gov/Archives/edgar/data/1262823/000119312514219853/0001193125-14-219853-index.htm,12 KB,2014-05-30,2014,0001262823,WESTLAKE CHEMICAL CORP
984,https://www.sec.gov/Archives/edgar/data/855658/000085565814000118/0000855658-14-000118-index.htm,131 KB,2014-05-30,2014,0000855658,LATTICE SEMICONDUCTOR CORP
990,https://www.sec.gov/Archives/edgar/data/818686/000119312514221880/0001193125-14-221880-index.htm,36 KB,2014-06-02,2014,0000818686,TEVA PHARMACEUTICAL INDUSTRIES LTD
993,https://www.sec.gov/Archives/edgar/data/716688/000071668814000006/0000716688-14-000006-index.htm,30 KB,2014-05-30,2014,0000716688,MICROWAVE FILTER CO INC /NY/
1002,https://www.sec.gov/Archives/edgar/data/1219601/000119312514221501/0001193125-14-221501-index.htm,14 KB,2014-06-02,2014,0001219601,CROWN HOLDINGS INC
1008,https://www.sec.gov/Archives/edgar/data/1560385/000110465914043234/0001104659-14-043234-index.htm,101 KB,2014-06-02,2014,0001560385,Liberty Media Corp
1014,https://www.sec.gov/Archives/edgar/data/1524472/000119312514221801/0001193125-14-221801-index.htm,34 KB,2014-06-02,2014,0001524472,Xylem Inc.
1020,https://www.sec.gov/Archives/edgar/data/98752/000009875214000008/0000098752-14-000008-index.htm,32 KB,2014-05-30,2014,0000098752,TOROTEL INC
